TEfam	TEpropCov	Cont_Ra	Cont_Rb	Sel_2La	Sel_2Lb	Sel_La	Sel_Lb	Mean_Cont	Mean_Sel	Diff_SelCont	log2RatSelCont	Df	F_value	P_value	Df_nested	F_value_nested	P_value_nested	Df_resid	Bonf	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length	ConsSC	ConsCS
BS3	0.98659217877095	10.884	11.044	11.005	11.261	10.204	10.585	10.964	10.764	-0.2	-0.027	1	6.04	0.014012151138207	4	18.75	0.014012151138207	10734	FALSE	FBte0000420	nnnnnnnn	BS3	Dmel	BS3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|BS3_DM;JOCKEY_clade|ORF2|reverse_transcriptase.	non-LTR	RNA	1790	FALSE	FALSE
CIRC	0.99248322147651	15.466	11.863	14.324	13.842	14.011	15.955	13.664	14.533	0.869	0.089	1	438.64	6.27814159930577e-97	4	1013.93	6.27814159930577e-97	44694	TRUE	FBte0000616	nnnnnnnn	Circe	Dmel	Circe	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Composite	Drosophila_melanogaster	98.755	1	NA	LTR_Retrotransposon|Transposable_Element|CIRCE;composite_transposon|non_LTR_retrotransposon.	LTR	RNA	7450	FALSE	FALSE
DIVER2	0.878177750660972	10.375	10.26	10.503	10.141	9.644	10.601	10.317	10.222	-0.095	-0.013	1	2.99	0.0838219480790001	4	35.36	0.0838219480790001	29496	FALSE	FBte0001178	nnnnnnnn	diver2	Dmel	diver2	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	NA	BEL|LTR_Retrotransposon|Transposable_Element|Nonautonomous;gag|Retrovirus|endonuclease|internal_portion;nonautonomous_LTR_retrotransposon|RT|the_BCDRP_group;DIVER2_LTR|DIVER2_I.	LTR	RNA	4917	FALSE	FALSE
DM_ROO	0.942696876374835	64.064	59.512	57.779	56.856	56.311	64.011	61.788	58.739	-3.049	-0.073	1	302.14	1.71694249349132e-67	4	295.59	1.71694249349132e-67	54546	TRUE	FBte0000100	AY180917	roo	Dmel	roo	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	99.612	1	NA	BEL|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|ORF1|gag|pol|BCDPR_superfamily|env;internal_portion|B104|ROO_LTR|ROO_I.	LTR	RNA	9092	FALSE	FALSE
DM06920	0.996218970902515	7.558	6.698	5.913	5.317	9.805	11.863	7.128	8.225	1.097	0.206	1	356.19	4.5389475189279e-79	4	1660.41	4.5389475189279e-79	36492	TRUE	FBte0000143	U06920	HeT-A	Dmel	HeT-A	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	99.984	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|HETA;telomere.	non-LTR	RNA	6083	FALSE	FALSE
DM23420	0.90956578517793	9.935	9.962	13.826	12.358	11.259	11.51	9.948	12.238	2.29	0.299	1	2349.25	0	4	338.2	0	36750	TRUE	FBte0000266	U23420	3S18	Dmel	3S18	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	1	BEL|LTR_Retrotransposon|Transposable_Element|BEL_I|BEL_LTR;endogenous_retrovirus|endonuclease|gag|reverse_transcriptase;internal_portion.	LTR	RNA	6126	TRUE	FALSE
DM33463	0.896313364055299	15.237	12.17	12.446	14.048	13.007	15.606	13.704	13.777	0.073	0.008	1	0.09	0.770547838219274	4	31.29	0.770547838219274	10410	FALSE	FBte0001005	U33463	S-element	Dmel	S-element	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|S_DM|TIR;Tc1/mariner_superfamily|transposase.	TIR	DNA	1736	FALSE	FALSE
DM88	0.947345326897762	13.146	11.28	9.843	9.592	11.315	10.417	12.213	10.292	-1.921	-0.247	1	799.06	2.69542516846506e-173	4	141.84	2.69542516846506e-173	27342	TRUE	FBte0000267	nnnnnnnn	Dm88	Dmel	Dm88	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	1	Copia|LTR_Retrotransposon|Transposable_Element|COPIA2I_DM;COPIA2LTR_DM|Retrovirus|COPIA_superfamily;gag-reverse_transcriptase.	LTR	RNA	4558	FALSE	FALSE
DMAURA	0.857142857142857	3.42	2.438	2.87	2.679	2.51	2.543	2.929	2.65	-0.278	-0.144	1	88.68	5.01046041562515e-21	4	120.51	5.01046041562515e-21	25572	TRUE	FBte0000112	nnnnnnnn	aurora-element	Dmel	aurora-element	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_simulans	97.228	2	NA	BEL|LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|internal_portion|PAO_subgroup|NINJA_I.	LTR	RNA	4263	FALSE	FALSE
DMBARI1	1	26.352	19.971	15.516	17.234	18.755	16.971	23.161	17.119	-6.042	-0.436	1	10601.12	0	4	1396.09	0	10362	TRUE	FBte0000034	X67681	Bari1	Dmel	Bari1	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI_DM;DMBARI1|Mobile_genetic_element|transposon.	TIR	DNA	1728	FALSE	TRUE
DMBLPP	0.978347238776321	11.195	9.843	11.921	14.898	8.223	15.17	10.519	12.553	2.034	0.255	1	1768.51	0	4	2597.82	0	30198	TRUE	FBte0000660	Z27119	flea	Dmel	flea	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	1	Gypsy|LTR_Retrotransposon|Transposable_Element|BLASTOPIA_I;BLASTOPIA_LTR|Gypsy_superfamily|gag|pol|internal_portion.	LTR	RNA	5034	FALSE	FALSE
DMCOPIA	0.934668481431071	17.228	18.22	13.97	14.577	16.338	15.337	17.724	15.056	-2.668	-0.235	1	1564.34	0	4	149.27	0	30852	TRUE	FBte0000023	X02599	copia	Dmel	copia	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	NA	Copia|LTR_Retrotransposon|Transposable_Element|COPIA_DM;COPIA_DM_I|COPIA_DM_LTR|Copia_element|DMCOPIA;Long_terminal_repeat|Repetitive_element|internal_portion.	LTR	RNA	5143	FALSE	TRUE
DMCR1A	1	50.561	43.779	46.742	49.364	46.179	51.837	47.17	48.531	1.361	0.041	1	39.66	3.06286924341094e-10	4	174.16	3.06286924341094e-10	26814	TRUE	FBte0000140	nnnnnnnn	Cr1a	Dmel	Cr1a	non_LTR_retrotransposon	LINE	CR1	CR1	CR1	Drosophila_melanogaster	100	1	NA	CR1|Non-LTR_Retrotransposon|Transposable_Element;CR1_superfamily|DMCR1A|ORF1|ORF2.	non-LTR	RNA	4470	FALSE	FALSE
DMDM11	0.929133858267717	8.032	8.014	8.419	9.372	9.103	9.939	8.023	9.208	1.185	0.199	1	807.67	1.57661885959894e-175	4	128.74	1.57661885959894e-175	32760	TRUE	FBte0000042	X14037	micropia	Dmel	micropia	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Gypsy	Drosophila_melanogaster	99.911	1	NA	LTR_Retrotransposon|Transposable_Element|DM2|MICROPIA_I;MICROPIA_LTR|gag|pol|internal_portion.	LTR	RNA	5461	TRUE	FALSE
DME010298	0.92159398142706	15.57	12.878	14.607	14.253	14.122	14.821	14.224	14.451	0.227	0.023	1	11.35	0.00075615402437216	4	162.5	0.00075615402437216	51036	FALSE	FBte0000359	AJ010298	GATE	Dmel	GATE	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	1	BEL|LTR_Retrotransposon|Transposable_Element|Retrovirus;internal_portion|polyprotein|BATUMI_LTR|BATUMI_I.	LTR	RNA	8507	FALSE	FALSE
DME278684	0.995693030540329	17.578	17.336	19.829	18.303	17.746	17.182	17.457	18.265	0.808	0.065	1	120.49	5.57374280836383e-28	4	135.71	5.57374280836383e-28	30642	TRUE	FBte0000457	AJ278684	Rt1a	Dmel	Rt1a	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	98.01	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|DMRT1|DMRT1A|Waldo-B.	non-LTR	RNA	5108	FALSE	FALSE
DME487856	0.959911173445535	12.588	11.179	13.762	16.495	15.011	15.873	11.884	15.285	3.402	0.363	1	2970.26	0	4	250.13	0	51330	TRUE	FBte0000304	AJ487856	Max-element	Dmel	Max-element	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	NA	BEL|LTR_Retrotransposon|Transposable_Element|BCDRP_superfamily;BEL-PAO_superfamily|MAX|MAX_I|MAX_LTR|endogenous_retrovirus;polyprotein|internal_portion.	LTR	RNA	8556	TRUE	FALSE
DME9736	0.887599514235596	14.108	11.427	12.383	13.023	10.97	15.392	12.768	12.942	0.174	0.02	1	8	0.004686776795452	4	680.07	0.004686776795452	44460	FALSE	FBte0000104	AJ009736	Idefix	Dmel	Idefix	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.968	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|gag|pol;Gypsy_superfamily|env|internal_portion|IDEFIX_I|IDEFIX_LTR.	LTR	RNA	7411	FALSE	FALSE
DMGYPF1A	0.886999598339805	6.474	3.968	4.138	4.553	2.796	4.307	5.221	3.948	-1.273	-0.403	1	2263.14	0	4	1310	0	44808	TRUE	FBte0000021	M12927	gypsy	Dmel	gypsy	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|GYPSY_DM;GYPSY_I|GYPSY_I.|GYPSY_LTR|endogenous_retrovirus|env|gag;pol|internal_portion.	LTR	RNA	7469	FALSE	FALSE
DMHFL1	1	16.795	12.575	12.196	16.012	16.136	21.927	14.685	16.568	1.883	0.174	1	176.16	5.19555783388136e-40	4	533.13	5.19555783388136e-40	17748	TRUE	FBte0000154	M69216	hobo	Dmel	hobo	terminal_inverted_repeat_element	DNA	hAT	hAT	hAT	Drosophila_melanogaster	99.791	1	NA	hAT|DNA_transposon|Transposable_Element|DMHOBOG|HOBO;Autonomous_DNA_transposon|hAT_superfamily|transposase.	TIR	DNA	2959	FALSE	FALSE
DMIFACA	0.999441444796127	15.739	12.668	16.177	16.728	16.791	20.366	14.204	17.515	3.311	0.302	1	5789.22	0	4	1562.08	0	32220	TRUE	FBte0000133	M14954	I-element	Dmel	I-element	non_LTR_retrotransposon	LINE	I	I	I	Drosophila_melanogaster	99.963	1	NA	I|Non-LTR_Retrotransposon|Transposable_Element|DMI|I_DM.	non-LTR	RNA	5371	TRUE	FALSE
DMIS176	0.926603038042748	17.058	12.951	13.886	16.396	12.996	15.875	15.004	14.788	-0.216	-0.021	1	10.37	0.00128083263682505	4	675.99	0.00128083263682505	44628	FALSE	FBte0000109	X01472	17.6	Dmel	17.6	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|transposon;reverse_transcriptase|Long_terminal_repeat|Repetitive_element;Copia-like_element|DM176.	LTR	RNA	7439	FALSE	FALSE
DMIS297	0.907362401715511	16.392	17.572	17.006	17.81	15.366	16.259	16.982	16.61	-0.372	-0.032	1	29.12	6.85074314065866e-08	4	156.54	6.85074314065866e-08	41964	TRUE	FBte0000675	X03431	297	Dmel	297	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|DM297_I;DM297_LTR|endogenous_retrovirus|Gypsy_superfamily|env|gag;pol|internal_portion.	LTR	RNA	6995	FALSE	FALSE
DMLINEJA	0.998804780876494	23.851	27.123	18.605	22.712	25.835	22.462	25.487	22.404	-3.083	-0.186	1	2111.05	0	4	1317.93	0	30114	TRUE	FBte0000088	M22874	jockey	Dmel	jockey	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;LINE_repetitive_sequence|dispersed_repetitive_element;long_interspersed_element|J1|LINEJ1_DM.	non-LTR	RNA	5020	FALSE	FALSE
DMMDG3	0.934408407320167	9.631	12.008	6.011	9.237	8.892	6.92	10.82	7.765	-3.054	-0.479	1	6204.09	0	4	1253.57	0	33108	TRUE	FBte0000010	X95908	mdg3	Dmel	mdg3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy-like_retrotransposon_MDG3|LTR|MDG3_DM;mobile_dispersed_genetic_element.	LTR	RNA	5519	FALSE	TRUE
DMPOGOR11	1	17.5	14.521	12.067	14.458	15.876	16.211	16.01	14.653	-1.358	-0.128	1	382.69	5.51035835640051e-84	4	587.39	5.51035835640051e-84	12720	TRUE	FBte0000568	X59837	pogo	Dmel	pogo	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Pogo	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|pogo;transposon.	TIR	DNA	2121	FALSE	FALSE
DMREPG	0.996778647031753	7.524	5.028	6.663	5.582	5.183	5.641	6.276	5.767	-0.508	-0.122	1	561.45	8.08506588892502e-123	4	1756.57	8.08506588892502e-123	26070	TRUE	FBte0000657	X06950	G-element	Dmel	G-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;G_LINE-like_retrotransposon|G_DM|ORF1|ORF2.	non-LTR	RNA	4346	FALSE	FALSE
DMRER1DM	1	165.953	159.251	185.116	154.174	178.436	159.24	162.602	169.242	6.64	0.058	1	367.06	2.33115442558848e-81	4	1071.04	2.33115442558848e-81	32130	TRUE	FBte0000118	X51968	R1A1-element	Dmel	R1A1-element	non_LTR_retrotransposon	LINE	Non-LTR_Retrotransposon	?	R1	Drosophila_melanogaster	100	1	NA	Non-LTR_Retrotransposon|Transposable_Element|transposon;reverse_transcriptase|integrase|retrotransposon|DMR1|R1_DM.	non-LTR	RNA	5356	FALSE	FALSE
DMRER2DM	1	25.553	18.272	23.143	19.415	22.167	22.344	21.913	21.767	-0.145	-0.01	1	4.13	0.042217094468675	4	1262.74	0.042217094468675	21636	FALSE	FBte0000030	X51967	R2-element	Dmel	R2-element	non_LTR_retrotransposon	LINE	R2	R2	R2	Drosophila_melanogaster	100	1	NA	R2|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|protease|integrase|retrotransposon|LINE;R2_DM.	non-LTR	RNA	3607	FALSE	FALSE
DMRTMGD1	0.889705882352941	21.12	13.889	10.102	11.388	12.055	11.66	17.504	11.301	-6.203	-0.631	1	7844.58	0	4	1081.3	0	44874	TRUE	FBte0000015	X59545	mdg1	Dmel	mdg1	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;LTR-retrotransposon|MDG1_I|MDG1_LTR|internal_portion.	LTR	RNA	7480	FALSE	TRUE
DMTHB1	0.996370235934664	9.9	9.105	8.585	9.675	9.296	10.57	9.503	9.531	0.029	0.004	1	0.12	0.72758855433713	4	66.01	0.72758855433713	9912	FALSE	FBte0000414	X01748	HB	Dmel	HB	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	1	Mariner/Tc1|DNA_transposon|Transposable_Element;Repetitive_sequence|transposon|unidentified_reading_frame;DMFB4|FB4_DM.	TIR	DNA	1653	FALSE	FALSE
DMTN1731	0.980421686746988	10.83	9.23	10.613	9.967	7.991	12	10.03	10.143	0.113	0.016	1	8.79	0.00303500544925613	4	1249.52	0.00303500544925613	27882	FALSE	FBte0000003	X07656	1731	Dmel	1731	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	NA	Copia|LTR_Retrotransposon|Transposable_Element|LTR|gag;retrotransposon|internal_portion|gene|DM1731|DM1731_LTR;DM1731_I.	LTR	RNA	4648	FALSE	FALSE
DMTNFB	0.828209764918626	16.79	19.712	11.991	18.898	17.45	18.976	18.251	16.829	-1.423	-0.117	1	7.24	0.00714823184732001	4	24.78	0.00714823184732001	6630	FALSE	FBte0000288	V00246	FB	Dmel	FB	foldback_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Repetitive_sequence|transposon|unidentified_reading_frame;DMFB4|FB4_DM.	FB	DNA	1106	FALSE	FALSE
DMTOM1_LTR	1	3.9	3.257	3.556	4.026	3.075	4.171	3.579	3.707	0.128	0.051	1	11.51	0.000703642226873537	4	123.9	0.000703642226873537	2454	FALSE	FBte0000400	NA	Tom1	Dmel	Tom1	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|DMTOM1_I;DMTOM1_LTR|Gypsy_group|Gypsy_superfamily;endogenous_retrovirus.	LTR	RNA	410	FALSE	FALSE
DMTRDNA	1	13.097	10.619	11.764	12.57	12.67	13.424	11.858	12.607	0.749	0.088	1	69.28	9.84538025535891e-17	4	103.11	9.84538025535891e-17	8604	TRUE	FBte0000670	X80025	hopper	Dmel	hopper	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	100	1	1	Transib|DNA_transposon|Transposable_Element|Nonautonomous;nonautonomous_DNA_transposon|TIR|DMTRDNA|M4DM.	TIR	DNA	1435	FALSE	FALSE
DMU89994	0.940258929964124	7.835	4.366	4.934	6.12	7.471	6.959	6.101	6.371	0.271	0.063	1	115.24	7.62443870050241e-27	4	2864.56	7.62443870050241e-27	38460	TRUE	FBte0000739	U89994	Burdock	Dmel	Burdock	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|BURDOCK_I;BURDOCK_LTR|gag|Gypsy_superfamily|pol|internal_portion.	LTR	RNA	6411	FALSE	FALSE
DMW1DOC	1	64.439	50.294	55.323	52.593	45.928	55.473	57.366	52.329	-5.037	-0.133	1	1193.44	3.36912563278365e-256	4	1410.39	3.36912563278365e-256	28344	TRUE	FBte0000341	X17551	Doc	Dmel	Doc	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LINE-like_retrotransposon|DOC.	non-LTR	RNA	4725	FALSE	FALSE
DMZAM	0.846473029045643	2.214	2.494	2.718	2.623	2.423	2.89	2.354	2.663	0.309	0.178	1	509.53	2.88788706575545e-112	4	153.16	2.88788706575545e-112	50604	TRUE	FBte0000217	AJ000387	ZAM	Dmel	ZAM	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|ZAM_I|ZAM_LTR|env;gag|pol|internal_portion.	LTR	RNA	8435	FALSE	FALSE
DOC2	0.998747128836918	15.234	13.146	14.891	14.058	14.256	16.175	14.19	14.845	0.655	0.065	1	152.82	5.16038300490691e-35	4	328.71	5.16038300490691e-35	28728	TRUE	FBte0000103	nnnnnnnn	Doc2-element	Dmel	Doc2-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.917	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC;DOC2_DM|JOCKEY_clade|gag|reverse_transcriptase.	non-LTR	RNA	4789	FALSE	FALSE
DOC3	1	20.256	17.765	19.497	19.573	18.874	20.035	19.011	19.495	0.484	0.036	1	54.89	1.30870112264276e-13	4	166.14	1.30870112264276e-13	28434	TRUE	FBte0001140	nnnnnnnn	Doc3-element	Dmel	Doc3-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|gag|DOC|JOCKEY_clade|DOC3_DM.	non-LTR	RNA	4740	FALSE	FALSE
DOC4	0.980652096022931	4.428	3.926	4.061	4.175	3.793	4.264	4.177	4.073	-0.104	-0.036	1	10.25	0.00136865040911648	4	44.59	0.00136865040911648	16740	FALSE	FBte0001039	nnnnnnnn	Doc4-element	Dmel	Doc4-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC4_DM;JOCKEY_clade|ORF1|ORF2|reverse_transcriptase.	non-LTR	RNA	2791	FALSE	FALSE
DOC5	0.996582656984195	7.667	6.147	6.692	7.364	6.62	7.734	6.907	7.103	0.196	0.04	1	37.56	8.99607369436158e-10	4	371.88	8.99607369436158e-10	28086	TRUE	FBte0000791	nnnnnnnn	Porto1	Dmel	Porto1	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC5_DM;JOCKEY_clade|ORF1|ORF2|Porto-1|reverse_transcriptase.	non-LTR	RNA	4682	FALSE	FALSE
