TEfam	TEpropCov	Cont_B1	Cont_B2	Cont_B3	Cont_B4	Cont_B5	Sel_O1	Sel_O2	Sel_O3	Sel_O4	Sel_O5	Mean_Cont	Mean_Sel	Diff_SelCont	log2RatSelCont	Df	F_value	P_value	Df_nested	F_value_nested	P_value_nested	Df_resid	Bonf	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length	ConsSC	ConsCS
BS3	0.966480446927374	4.827	7.463	6.755	4.301	4.613	9.591	7.869	8.495	8.389	8.445	5.592	8.558	2.966	0.614	1	3184.35	0	8	174.65	0	17890	TRUE	FBte0000420	nnnnnnnn	BS3	Dmel	BS3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|BS3_DM;JOCKEY_clade|ORF2|reverse_transcriptase.	non-LTR	RNA	1790	TRUE	FALSE
BS4	0.942970822281167	0.928	1.381	1.108	0.987	0.8	1.62	1.58	1.527	1.73	1.756	1.041	1.643	0.602	0.659	1	2032.17	0	8	65.1	0	7530	TRUE	FBte0001042	nnnnnnnn	BS4	Dmel	BS4	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|BS|BS4_DM;JOCKEY_clade|ORF2|reverse_transcriptase.	non-LTR	RNA	754	TRUE	FALSE
CIRC	0.991677852348993	27.794	29.658	27.385	20.372	16.993	38.975	33.628	33.081	36.714	34.558	24.44	35.391	10.951	0.534	1	13142.8	0	8	782.92	0	74490	TRUE	FBte0000616	nnnnnnnn	Circe	Dmel	Circe	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Composite	Drosophila_melanogaster	98.755	1	NA	LTR_Retrotransposon|Transposable_Element|CIRCE;composite_transposon|non_LTR_retrotransposon.	LTR	RNA	7450	TRUE	FALSE
DIVER2	0.868008948545861	5.774	6.584	6.445	4.678	4.874	7.747	6.78	7.206	7.327	7.812	5.671	7.374	1.703	0.379	1	2050.66	0	8	133.56	0	49160	TRUE	FBte0001178	nnnnnnnn	diver2	Dmel	diver2	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	NA	BEL|LTR_Retrotransposon|Transposable_Element|Nonautonomous;gag|Retrovirus|endonuclease|internal_portion;nonautonomous_LTR_retrotransposon|RT|the_BCDRP_group;DIVER2_LTR|DIVER2_I.	LTR	RNA	4917	TRUE	FALSE
DM_ROO	0.935107787065552	115.568	122.874	113.49	117.313	105.254	139.614	147.814	133.633	146.054	127.21	114.9	138.865	23.965	0.273	1	4695.58	0	8	188.22	0	90910	TRUE	FBte0000100	AY180917	roo	Dmel	roo	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	99.612	1	NA	BEL|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|ORF1|gag|pol|BCDPR_superfamily|env;internal_portion|B104|ROO_LTR|ROO_I.	LTR	RNA	9092	TRUE	FALSE
DM06920	0.999671214861088	13.172	8.354	15.774	11.209	15.431	9.42	14.55	14.057	17.877	9.708	12.788	13.122	0.334	0.037	1	19.26	1.1439838476666e-05	8	767.5	1.1439838476666e-05	60820	TRUE	FBte0000143	U06920	HeT-A	Dmel	HeT-A	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	99.984	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|HETA;telomere.	non-LTR	RNA	6083	FALSE	FALSE
DM23420	0.902873000326477	9.965	13.909	13.036	8.904	9.332	14.79	11.069	11.249	12.941	15.334	11.029	13.077	2.048	0.246	1	2313.45	0	8	1000.79	0	61250	TRUE	FBte0000266	U23420	3S18	Dmel	3S18	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	1	BEL|LTR_Retrotransposon|Transposable_Element|BEL_I|BEL_LTR;endogenous_retrovirus|endonuclease|gag|reverse_transcriptase;internal_portion.	LTR	RNA	6126	FALSE	FALSE
DM33463	0.876152073732719	14.07	16.094	15.292	13.453	16.876	24.426	21.904	20.532	21.258	19.912	15.157	21.607	6.449	0.511	1	344.91	2.98465816532505e-76	8	8.34	2.98465816532505e-76	17350	TRUE	FBte0001005	U33463	S-element	Dmel	S-element	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|S_DM|TIR;Tc1/mariner_superfamily|transposase.	TIR	DNA	1736	TRUE	FALSE
DM88	0.940982887231242	13.482	17	15.902	15.265	16.264	20.637	19.078	19.255	20.315	19.225	15.583	19.702	4.119	0.338	1	1210.54	8.51699852365567e-262	8	32.66	8.51699852365567e-262	45570	TRUE	FBte0000267	nnnnnnnn	Dm88	Dmel	Dm88	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	1	Copia|LTR_Retrotransposon|Transposable_Element|COPIA2I_DM;COPIA2LTR_DM|Retrovirus|COPIA_superfamily;gag-reverse_transcriptase.	LTR	RNA	4558	TRUE	FALSE
DMBARI1	1	47.824	41.383	79.491	46.278	51.098	89.563	62.157	65.829	74.917	73.5	53.215	73.193	19.978	0.46	1	6092.53	0	8	1037.33	0	17270	TRUE	FBte0000034	X67681	Bari1	Dmel	Bari1	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI_DM;DMBARI1|Mobile_genetic_element|transposon.	TIR	DNA	1728	FALSE	FALSE
DMBLPP	0.973182359952324	17.378	19.645	16.048	26.09	20.732	19.994	20.51	19.948	22.662	17.41	19.979	20.105	0.126	0.009	1	2.07	0.149959319483351	8	484.54	0.149959319483351	50330	FALSE	FBte0000660	Z27119	flea	Dmel	flea	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	1	Gypsy|LTR_Retrotransposon|Transposable_Element|BLASTOPIA_I;BLASTOPIA_LTR|Gypsy_superfamily|gag|pol|internal_portion.	LTR	RNA	5034	FALSE	FALSE
DMCOPIA	0.926890919696675	150.466	91.321	123.489	81.592	90.419	53.977	56.145	53.895	61.499	52.996	107.457	55.702	-51.755	-0.948	1	21995.48	0	8	1385.23	0	51420	TRUE	FBte0000023	X02599	copia	Dmel	copia	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	NA	Copia|LTR_Retrotransposon|Transposable_Element|COPIA_DM;COPIA_DM_I|COPIA_DM_LTR|Copia_element|DMCOPIA;Long_terminal_repeat|Repetitive_element|internal_portion.	LTR	RNA	5143	FALSE	TRUE
DMCR1A	0.999328859060403	66.973	65.588	66.326	59.559	65.155	85.269	76.381	78.004	81.978	77.886	64.72	79.904	15.183	0.304	1	2071.35	0	8	39.72	0	44690	TRUE	FBte0000140	nnnnnnnn	Cr1a	Dmel	Cr1a	non_LTR_retrotransposon	LINE	CR1	CR1	CR1	Drosophila_melanogaster	100	1	NA	CR1|Non-LTR_Retrotransposon|Transposable_Element;CR1_superfamily|DMCR1A|ORF1|ORF2.	non-LTR	RNA	4470	TRUE	FALSE
DMDM11	0.912653360190441	13.603	14.142	13.315	12.656	9.235	18.35	15.909	16.261	16.869	15.837	12.59	16.645	4.055	0.403	1	3519.37	0	8	208.83	0	54600	TRUE	FBte0000042	X14037	micropia	Dmel	micropia	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Gypsy	Drosophila_melanogaster	99.911	1	NA	LTR_Retrotransposon|Transposable_Element|DM2|MICROPIA_I;MICROPIA_LTR|gag|pol|internal_portion.	LTR	RNA	5461	TRUE	FALSE
DME010298	0.910309157164688	10.337	12.107	10.424	9.428	10.097	14.195	11.816	12.371	12.752	13.953	10.479	13.017	2.539	0.313	1	2565.02	0	8	161.61	0	85060	TRUE	FBte0000359	AJ010298	GATE	Dmel	GATE	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	1	BEL|LTR_Retrotransposon|Transposable_Element|Retrovirus;internal_portion|polyprotein|BATUMI_LTR|BATUMI_I.	LTR	RNA	8507	FALSE	FALSE
DME278684	0.996867658574785	6.539	9.027	8.762	5.1	4.956	9.645	8.625	9.048	8.551	9.828	6.877	9.14	2.263	0.41	1	3536.56	0	8	569.35	0	51070	TRUE	FBte0000457	AJ278684	Rt1a	Dmel	Rt1a	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	98.01	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|DMRT1|DMRT1A|Waldo-B.	non-LTR	RNA	5108	FALSE	FALSE
DME487856	0.949275362318841	11.743	12.808	10.425	11.665	10.529	12.966	10.846	12.299	11.837	12.112	11.434	12.012	0.578	0.071	1	231.67	3.02461602576299e-52	8	217.32	3.02461602576299e-52	85550	TRUE	FBte0000304	AJ487856	Max-element	Dmel	Max-element	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	NA	BEL|LTR_Retrotransposon|Transposable_Element|BCDRP_superfamily;BEL-PAO_superfamily|MAX|MAX_I|MAX_LTR|endogenous_retrovirus;polyprotein|internal_portion.	LTR	RNA	8556	FALSE	FALSE
DME9736	0.863716097692619	19.683	22.054	22.571	28.901	25.433	36.1	33.148	29.61	36.057	33.841	23.729	33.751	10.023	0.508	1	6721.25	0	8	262.72	0	74100	TRUE	FBte0000104	AJ009736	Idefix	Dmel	Idefix	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.968	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|gag|pol;Gypsy_superfamily|env|internal_portion|IDEFIX_I|IDEFIX_LTR.	LTR	RNA	7411	TRUE	FALSE
DMGYPF1A	0.879769714821261	2.411	2.968	2.489	1.845	1.978	4.936	5.095	4.953	4.055	4.277	2.338	4.663	2.325	0.996	1	19781.79	0	8	304.18	0	74680	TRUE	FBte0000021	M12927	gypsy	Dmel	gypsy	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|GYPSY_DM;GYPSY_I|GYPSY_I.|GYPSY_LTR|endogenous_retrovirus|env|gag;pol|internal_portion.	LTR	RNA	7469	TRUE	FALSE
DMHFL1	1	20.376	23.125	15.302	13.751	24.934	23.323	19.711	20.872	21.052	20.304	19.498	21.052	1.555	0.111	1	164.98	1.16323280847202e-37	8	346.98	1.16323280847202e-37	29580	TRUE	FBte0000154	M69216	hobo	Dmel	hobo	terminal_inverted_repeat_element	DNA	hAT	hAT	hAT	Drosophila_melanogaster	99.791	1	NA	hAT|DNA_transposon|Transposable_Element|DMHOBOG|HOBO;Autonomous_DNA_transposon|hAT_superfamily|transposase.	TIR	DNA	2959	FALSE	FALSE
DMIFACA	0.999441444796127	61.528	34.668	46.58	103.065	88.199	35.496	31.053	32.998	39.701	36.36	66.808	35.121	-31.687	-0.928	1	35253.2	0	8	5768.5	0	53700	TRUE	FBte0000133	M14954	I-element	Dmel	I-element	non_LTR_retrotransposon	LINE	I	I	I	Drosophila_melanogaster	99.963	1	NA	I|Non-LTR_Retrotransposon|Transposable_Element|DMI|I_DM.	non-LTR	RNA	5371	FALSE	FALSE
DMIS176	0.879553703454765	37.656	21.943	38.334	63.396	47.507	35.096	33.52	31.9	34.094	30.978	41.767	33.117	-8.65	-0.335	1	2596.04	0	8	1619.6	0	74380	TRUE	FBte0000109	X01472	17.6	Dmel	17.6	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|transposon;reverse_transcriptase|Long_terminal_repeat|Repetitive_element;Copia-like_element|DM176.	LTR	RNA	7439	FALSE	FALSE
DMIS297	0.900929235167977	41.245	37.799	53.17	76.623	61.91	55.927	45.247	53.812	52.816	48.535	54.149	51.267	-2.882	-0.079	1	192.34	1.11809112659765e-43	8	1244.14	1.11809112659765e-43	69940	TRUE	FBte0000675	X03431	297	Dmel	297	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|DM297_I;DM297_LTR|endogenous_retrovirus|Gypsy_superfamily|env|gag;pol|internal_portion.	LTR	RNA	6995	FALSE	FALSE
DMLINEJA	0.999003984063745	26.031	30.883	27.199	26.296	34.649	36.456	35.469	34.13	32.607	34.851	29.012	34.703	5.691	0.258	1	1166.32	1.01841945096657e-252	8	113.85	1.01841945096657e-252	50190	TRUE	FBte0000088	M22874	jockey	Dmel	jockey	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;LINE_repetitive_sequence|dispersed_repetitive_element;long_interspersed_element|J1|LINEJ1_DM.	non-LTR	RNA	5020	FALSE	FALSE
DMMDG3	0.926073564051459	15.5	14.318	17.049	19.364	18.409	17.81	17.606	18.037	23.265	17.416	16.928	18.827	1.899	0.153	1	491.09	2.46168773214484e-108	8	284.88	2.46168773214484e-108	55180	TRUE	FBte0000010	X95908	mdg3	Dmel	mdg3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy-like_retrotransposon_MDG3|LTR|MDG3_DM;mobile_dispersed_genetic_element.	LTR	RNA	5519	FALSE	FALSE
DMPOGOR11	1	17.963	18.159	21.206	15.076	14.756	25.312	25.302	21.069	26.937	23.886	17.432	24.501	7.069	0.491	1	1846.44	0	8	87.1	0	21200	TRUE	FBte0000568	X59837	pogo	Dmel	pogo	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Pogo	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|pogo;transposon.	TIR	DNA	2121	FALSE	FALSE
DMREPG	0.997699033594109	8.898	7.795	7.51	13.024	11.113	7.12	5.205	5.09	5.665	7.352	9.668	6.086	-3.582	-0.668	1	8943.3	0	8	931.75	0	43450	TRUE	FBte0000657	X06950	G-element	Dmel	G-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;G_LINE-like_retrotransposon|G_DM|ORF1|ORF2.	non-LTR	RNA	4346	FALSE	TRUE
DMRER1DM	0.999813293502614	132.849	156.674	223.36	141.461	118.88	141.059	114.105	119.891	112.315	125.008	154.645	122.476	-32.169	-0.336	1	4972.6	0	8	1726.41	0	53550	TRUE	FBte0000118	X51968	R1A1-element	Dmel	R1A1-element	non_LTR_retrotransposon	LINE	Non-LTR_Retrotransposon	?	R1	Drosophila_melanogaster	100	1	NA	Non-LTR_Retrotransposon|Transposable_Element|transposon;reverse_transcriptase|integrase|retrotransposon|DMR1|R1_DM.	non-LTR	RNA	5356	FALSE	FALSE
DMRER2DM	1	24.651	34.769	23.429	26.059	16.583	32.46	25.625	27.127	28.054	30.195	25.098	28.692	3.594	0.193	1	1122.29	2.49433861347774e-242	8	863.11	2.49433861347774e-242	36060	TRUE	FBte0000030	X51967	R2-element	Dmel	R2-element	non_LTR_retrotransposon	LINE	R2	R2	R2	Drosophila_melanogaster	100	1	NA	R2|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|protease|integrase|retrotransposon|LINE;R2_DM.	non-LTR	RNA	3607	FALSE	FALSE
DMRTMGD1	0.888235294117647	29.116	34.108	34.078	32.8	28.525	40.882	40.597	42.361	42.001	36.214	31.725	40.411	8.686	0.349	1	3201.98	0	8	113.8	0	74790	TRUE	FBte0000015	X59545	mdg1	Dmel	mdg1	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;LTR-retrotransposon|MDG1_I|MDG1_LTR|internal_portion.	LTR	RNA	7480	TRUE	FALSE
DMTHB1	1	8.359	9.714	9.584	6.081	7.919	14.934	13.398	13.139	13.789	13.53	8.331	13.758	5.427	0.724	1	5545.86	0	8	100.43	0	16520	TRUE	FBte0000414	X01748	HB	Dmel	HB	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	1	Mariner/Tc1|DNA_transposon|Transposable_Element;Repetitive_sequence|transposon|unidentified_reading_frame;DMFB4|FB4_DM.	TIR	DNA	1653	TRUE	FALSE
DMTN1731	0.981497418244406	9.269	14.41	10.936	11.15	9.334	16.252	14.342	14.051	15.314	15.252	11.02	15.042	4.023	0.449	1	6326.22	0	8	400.3	0	46470	TRUE	FBte0000003	X07656	1731	Dmel	1731	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	NA	Copia|LTR_Retrotransposon|Transposable_Element|LTR|gag;retrotransposon|internal_portion|gene|DM1731|DM1731_LTR;DM1731_I.	LTR	RNA	4648	FALSE	FALSE
DMTNFB	0.843580470162749	61.024	40.019	57.27	54.258	96.675	69.468	50.555	60.687	65.593	55.524	61.849	60.366	-1.484	-0.035	1	0.91	0.339223094555398	8	41.47	0.339223094555398	11050	FALSE	FBte0000288	V00246	FB	Dmel	FB	foldback_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Repetitive_sequence|transposon|unidentified_reading_frame;DMFB4|FB4_DM.	FB	DNA	1106	FALSE	FALSE
DMTOM1_LTR	1	7.038	6.568	7.621	7.895	8.035	8.557	7.407	8.031	8.329	7.733	7.431	8.011	0.58	0.108	1	34.28	5.15745653708251e-09	8	12	5.15745653708251e-09	4090	TRUE	FBte0000400	NA	Tom1	Dmel	Tom1	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|DMTOM1_I;DMTOM1_LTR|Gypsy_group|Gypsy_superfamily;endogenous_retrovirus.	LTR	RNA	410	FALSE	FALSE
DMTRDNA	1	29.678	27.82	33.784	26.901	34.04	32.153	28.761	34.192	31.071	28.006	30.445	30.837	0.392	0.018	1	6.59	0.0102617359684805	8	148.93	0.0102617359684805	14340	FALSE	FBte0000670	X80025	hopper	Dmel	hopper	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	100	1	1	Transib|DNA_transposon|Transposable_Element|Nonautonomous;nonautonomous_DNA_transposon|TIR|DMTRDNA|M4DM.	TIR	DNA	1435	FALSE	FALSE
DMU89994	0.93386367181407	12.062	12.469	10.698	12.437	11.114	17.592	14.813	14.204	17.304	15.004	11.756	15.783	4.027	0.425	1	6132.33	0	8	231.12	0	64100	TRUE	FBte0000739	U89994	Burdock	Dmel	Burdock	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|BURDOCK_I;BURDOCK_LTR|gag|Gypsy_superfamily|pol|internal_portion.	LTR	RNA	6411	TRUE	FALSE
DMW1DOC	1	80.691	69.49	66.367	145.438	115.292	82.887	80.798	77.332	80.635	75.255	95.456	79.381	-16.075	-0.266	1	2628.98	0	8	2374.3	0	47240	TRUE	FBte0000341	X17551	Doc	Dmel	Doc	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LINE-like_retrotransposon|DOC.	non-LTR	RNA	4725	FALSE	FALSE
DMZAM	0.846235921754594	6.399	3.518	5.438	10.422	9.779	4.794	4.841	5.036	4.456	4.162	7.111	4.658	-2.453	-0.61	1	6637.82	0	8	1917.82	0	84340	TRUE	FBte0000217	AJ000387	ZAM	Dmel	ZAM	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|ZAM_I|ZAM_LTR|env;gag|pol|internal_portion.	LTR	RNA	8435	FALSE	FALSE
DOC2	0.998747128836918	28.057	19.622	20.618	39.088	35.837	22.964	19.36	19.664	21.952	21.244	28.644	21.037	-7.607	-0.445	1	4554.39	0	8	1244.42	0	47880	TRUE	FBte0000103	nnnnnnnn	Doc2-element	Dmel	Doc2-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.917	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC;DOC2_DM|JOCKEY_clade|gag|reverse_transcriptase.	non-LTR	RNA	4789	FALSE	FALSE
DOC3	1	26.204	21.655	23.327	33.324	33.988	29.132	25.361	25.261	26.966	25.896	27.7	26.523	-1.176	-0.063	1	141.08	1.71491206639678e-32	8	710.65	1.71491206639678e-32	47390	TRUE	FBte0001140	nnnnnnnn	Doc3-element	Dmel	Doc3-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|gag|DOC|JOCKEY_clade|DOC3_DM.	non-LTR	RNA	4740	FALSE	FALSE
