TEfam	Cont	Sel	DiffSelCont	log2SelCont	regime_Df	regime_F	regime_P	regime_Bonf	inter_Df	inter_F	inter_P	inter_Bonf	study_Df	study_F	study_P	study_Bonf	adj_R_squared	Df_resid	regime_fdr	inter_fdr	study_fdr	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length
F	0.0652947163131114	0.0608111800922928	-0.0044835362208186	-0.102629666249828	1	8.62	0.00562601792689737	FALSE	3	12.51	7.78711114080435e-06	TRUE	3	50.47	2.51197799211257e-13	TRUE	0.8089489380728	38	0.0259662365856802	9.34453336896522e-05	1.00479119684503e-12	FBte0000005	AC005198	F-element	Dmel	F-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.936	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LINE_retrotransposon|DMFW|FW_DM|FW.	non-LTR	RNA	4708
FW2	0.00254640592688647	0.00279237514661436	0.000245969219727891	0.133030355969295	1	15.14	0.000389494050042234	TRUE	3	15.16	1.20747180126557e-06	TRUE	3	44.62	1.57105707799178e-12	TRUE	0.806452893418406	38	0.00515157337667817	2.41494360253114e-05	4.96123287786878e-12	FBte0001002	nnnnnnnn	Fw2	Dmel	Fw2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|FW2_DM;JOCKEY_clade|ORF1|ORF2|endonuclease|reverse_transcriptase.	non-LTR	RNA	3961
FW3	0.00148256626210435	0.00159404241120614	0.000111476149101787	0.104593427981714	1	0.95	0.335310509478168	FALSE	3	9.6	7.51614579401526e-05	TRUE	3	38.05	1.56619177407118e-11	TRUE	0.752601394446776	38	0.457241603833865	0.000409971588764469	3.35612523015253e-11	FBte0000636	nnnnnnnn	Fw3	Dmel	Fw3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|FW3_DM;JOCKEY_clade|ORF1|ORF2|endonuclease|reverse_transcriptase.	non-LTR	RNA	3132
G2	0.012044542231578	0.0101212787218347	-0.00192326350974329	-0.25098799156072	1	7.95	0.00761281991133345	FALSE	3	7.23	0.000593935299863334	TRUE	3	47.22	6.79623571914023e-13	TRUE	0.784993748693508	38	0.0285480746675004	0.00187558515746316	2.39867143028479e-12	FBte0000800	AC006215	G2	Dmel	G2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF2;FW_DM|DOC|JOCKEY_superfamily|G|DMCR1A|G2_DM.	non-LTR	RNA	3102
G3	0.00196520780353385	0.00207907151082576	0.000113863707291912	0.0812575084213007	1	6.56	0.0145306048560376	FALSE	3	3.6	0.0220792901525488	FALSE	3	30.45	3.32245455114327e-10	TRUE	0.693256421015054	38	0.0455454184115904	0.0419278710751562	6.04082645662413e-10	FBte0001171	nnnnnnnn	G3	Dmel	G3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1;reverse_transcriptase|ORF2|AP_endonuclease|RNase_H;DNA_binding_protein|JOCKEY_clade|G3_DM.	non-LTR	RNA	4605
G4_DM	0.0113697482273172	0.0130270781111389	0.00165732988382174	0.196313225658145	1	14.57	0.000484779379987611	TRUE	3	6.53	0.00113418714838916	FALSE	3	7.03	0.000713369642559117	TRUE	0.51737264141418	38	0.00515157337667817	0.00340256144516748	0.000807588274595227	FBte0000290	NA	G4	Dmel	G4	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G4_DM|JOCKEY_clad|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	3856
G5_DM	0.0129180523544964	0.0139163590226968	0.000998306668200433	0.107393231745831	1	8.84	0.00509429226219525	FALSE	3	4.01	0.0141947578276285	FALSE	3	7.16	0.000629815602919421	TRUE	0.439999716750351	38	0.0254714613109763	0.0297579772666121	0.000740959532846378	FBte0001128	NA	G5	Dmel	G5	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G5_DM|JOCKEY_clad|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	4856
G5A	0.0111552845259052	0.0119193190326575	0.000764034506752335	0.0955745036420295	1	17.74	0.000149892136084561	TRUE	3	23.08	1.12088681986571e-08	TRUE	3	136.51	2.14911418890557e-20	TRUE	0.915811964365461	38	0.00299784272169122	6.72532091919426e-07	4.29822837781114e-19	FBte0000174	nnnnnnnn	G5A	Dmel	G5A	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G5A_DM|JOCKEY_clade|ORF2;reverse_transcriptase.	non-LTR	RNA	2841
G6_DM	0.00768394327299731	0.0061765410741562	-0.00150740219884111	-0.315047727925237	1	7.43	0.00963777476984745	FALSE	3	10.32	4.17578629105209e-05	TRUE	3	33.87	7.91396966806313e-11	TRUE	0.747189731604374	38	0.0340156756582851	0.000284251471251227	1.53173606478641e-10	FBte0000958	NA	G6	Dmel	G6	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;DNA/RNA_binding_protein|G6_DM|JOCKEY_clad|ORF1|ORF2|RNase_H;endonuclease.	non-LTR	RNA	2042
HEL	0.00331770703390198	0.00353315812700317	0.000215451093101181	0.0907718222173785	1	4.18	0.0478833489011747	FALSE	3	13.78	3.11486042245006e-06	TRUE	3	40.05	7.55006493710231e-12	TRUE	0.779050620672255	38	0.102607176216803	4.67229063367509e-05	1.81201558490455e-11	FBte0000984	nnnnnnnn	Helena	Dmel	Helena	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.468	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|retrotransposon|HELENA|HELENA_RT.	non-LTR	RNA	1317
HOPPER2	0.0032393344690435	0.00343865657968575	0.000199322110642248	0.0861476028569684	1	5.9	0.0199636778989827	FALSE	3	5.02	0.00496922606124344	FALSE	3	26.62	1.91131403903484e-09	TRUE	0.67583967985489	38	0.0520791597364766	0.0129631984206351	3.1855233983914e-09	FBte0000930	AF541950	hopper2	Dmel	hopper2	terminal_inverted_repeat_element	DNA	Transib	NA	Transib	Drosophila_melanogaster	87.196	2	NA	Transib|DNA_transposon|Transposable_Element|Nonautonomous;nonautonomous_DNA_transposon|TIR|DMTRDNA|M4DM.	TIR	DNA	1593
IVK	0.0108850847883165	0.0107518635762054	-0.000133221212111167	-0.0177659074295836	1	0.03	0.861768057630955	FALSE	3	4.08	0.013198870546237	FALSE	3	25.73	2.93167751375162e-09	TRUE	0.646960472348862	38	0.891484197549264	0.0293308234360822	4.75407164392155e-09	FBte0000608	nnnnnnnn	Ivk	Dmel	Ivk	non_LTR_retrotransposon	LINE	Jockey	?	I	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|gag|I_DM|JOCKEY_clade|IVK_DM|You.	non-LTR	RNA	5402
JOCKEY2	0.00599282610791322	0.00668102674084436	0.000688200632931142	0.156833320998252	1	13.54	0.000720416432410785	TRUE	3	4.45	0.00897749122838581	FALSE	3	30.01	4.03164116875896e-10	TRUE	0.709506349399417	38	0.00540312324308089	0.0215459789481259	7.11466088604522e-10	FBte0001092	NA	jockey2	Dmel	jockey2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|JOCKEY_clad|JOCKEY2|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	3428
JUAN	0.0116673945941362	0.0119822710703256	0.000314876476189411	0.0384189427919471	1	1.92	0.173896278589058	FALSE	3	0.34	0.793137131832923	FALSE	3	32.17	1.59374386533547e-10	TRUE	0.672623610620447	38	0.289827130981763	0.806580134067379	2.98826974750401e-10	FBte0000982	AY180919	Juan	Dmel	Juan	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.905	1	1	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC6_DM;JOCKEY_clade|ORF1|ORF2|Strider|endonuclease;reverse_transcriptase.	non-LTR	RNA	4236
LOOPER1_DM	0.00088135329083161	0.00100554664486618	0.000124193354034566	0.190187661213088	1	12.97	0.000902249242663351	FALSE	3	7.87	0.000331075790241867	TRUE	3	42.31	3.42216137403863e-12	TRUE	0.776686900308101	38	0.00601499495108901	0.001241534213407	9.33316738374172e-12	FBte0000323	NA	looper1	Dmel	looper1	terminal_inverted_repeat_element	DNA	piggyBac	PiggyBac	PiggyBac	Drosophila_melanogaster	100	1	NA	piggyBac|DNA_transposon|Transposable_Element|LOOPER1_Dm;Looper/PiggyBac_superfamily|TTAA|transposase.	TIR	DNA	1881
MARINER2	0.00778823919887588	0.00819579950651048	0.000407560307634607	0.0735874982064089	1	6	0.0189868717319653	FALSE	3	5.08	0.00468885541816099	FALSE	3	55.51	5.87987218565237e-14	TRUE	0.800690030448392	38	0.0517823774508145	0.0127877875040754	2.71378716260879e-13	FBte0001033	nnnnnnnn	mariner2	Dmel	mariner2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|MARINER2_DM;Mariner/Tc1-superfamily|transposase.	TIR	DNA	912
