TEfam	flybase_name	fb_id	TEsubclass	TEclass	Cont_1	Cont_2	Cont_3	Sel_1	Sel_2	Sel_3	Mean_Cont	Mean_Sel	ConsistSC	ConsistCS
DMTOM1_LTR	Tom1	FBte0000400	LTR	RNA	2239.775	2153.818	2087.43	2545.467	2052.138	2259.6	2160.341	2285.735	FALSE	FALSE
DMTRDNA	hopper	FBte0000670	TIR	DNA	31305.19	28462.826	23283.753	27462.618	27007.533	29409.659	27683.923	27959.9366666667	FALSE	FALSE
DMU89994	Burdock	FBte0000739	LTR	RNA	55811.148	56571.311	55424.08	64369.346	54305.645	56842.759	55935.513	58505.9166666667	FALSE	FALSE
DMW1DOC	Doc	FBte0000341	non-LTR	RNA	291057.777	297714.231	254687.192	309765.877	274682.402	284377.299	281153.066666667	289608.526	FALSE	FALSE
DMZAM	ZAM	FBte0000217	LTR	RNA	40863.182	33152.964	36370.902	34165.736	36252.952	43098.863	36795.6826666667	37839.1836666667	FALSE	FALSE
DOC2	Doc2-element	FBte0000103	non-LTR	RNA	74167.795	75362.183	72453.332	79272.102	72311.872	73533.077	73994.4366666667	75039.017	FALSE	FALSE
DOC3	Doc3-element	FBte0001140	non-LTR	RNA	104212.916	104132.02	92468.804	107970.897	99081.103	102869.226	100271.246666667	103307.075333333	FALSE	FALSE
DOC4	Doc4-element	FBte0001039	non-LTR	RNA	11138.914	11092.617	9796.145	11316.784	10880.571	11282.736	10675.892	11160.0303333333	FALSE	FALSE
DOC5	Porto1	FBte0000791	non-LTR	RNA	39968.646	39439.968	33731.331	43509.245	37467.356	39592.717	37713.315	40189.7726666667	FALSE	FALSE
F	F-element	FBte0000005	non-LTR	RNA	459115.145	471502.436	427706.384	490582.584	456160.375	450361.057	452774.655	465701.338666667	FALSE	FALSE
FROGGER	frogger	FBte0000314	LTR	RNA	8501.075	5649.432	7301.003	6080.944	7249.908	7806.771	7150.50333333333	7045.87433333333	FALSE	FALSE
FW2	Fw2	FBte0001002	non-LTR	RNA	12318.628	12478.816	10892.558	13005.449	11545.054	11822.048	11896.6673333333	12124.1836666667	FALSE	FALSE
FW3	Fw3	FBte0000636	non-LTR	RNA	6169.783	6111.191	5537.409	6412.414	5797.356	6187.041	5939.461	6132.27033333333	FALSE	FALSE
G2	G2	FBte0000800	non-LTR	RNA	44029.038	43485.517	41842.166	41970.983	42333.099	40298.672	43118.907	41534.2513333333	FALSE	FALSE
G3	G3	FBte0001171	non-LTR	RNA	7510.199	7550.463	6740.215	8639.128	7201.671	7752.749	7266.959	7864.516	FALSE	FALSE
G4_DM	G4	FBte0000290	non-LTR	RNA	31727.051	30245.667	26223.01	32877.339	28690.883	31196.607	29398.576	30921.6096666667	FALSE	FALSE
G5_DM	G5	FBte0001128	non-LTR	RNA	35110.489	33142.488	34842.325	32646.744	34979.184	35187.233	34365.1006666667	34271.0536666667	FALSE	FALSE
G5A	G5A	FBte0000174	non-LTR	RNA	17260.949	17312.01	15885.476	17563.567	16895.051	17031.136	16819.4783333333	17163.2513333333	FALSE	FALSE
G6_DM	G6	FBte0000958	non-LTR	RNA	18355.953	18759.686	21521.473	20237.178	21458.779	22379.19	19545.704	21358.3823333333	FALSE	FALSE
G7	G7	FBte0000690	non-LTR	RNA	1006.116	1516.796	735.992	1756.752	1165.118	1052.755	1086.30133333333	1324.875	FALSE	FALSE
GTWIN	gtwin	FBte0001062	LTR	RNA	14654.691	18420.03	14264.27	24738.434	19610.76	17949.454	15779.6636666667	20766.216	FALSE	FALSE
GYPSY10	gypsy10	FBte0000351	LTR	RNA	25978.018	26505.514	21021.88	25987.186	22391.944	24336.083	24501.804	24238.4043333333	FALSE	FALSE
GYPSY2	gypsy2	FBte0001040	LTR	RNA	40154.332	39574.4	38892.68	41748.292	40595.352	40345.087	39540.4706666667	40896.2436666667	TRUE	FALSE
GYPSY3	gypsy3	FBte0001030	LTR	RNA	26726.896	24923.65	25333.992	25150.453	26754.616	25967.287	25661.5126666667	25957.452	FALSE	FALSE
GYPSY4	gypsy4	FBte0000688	LTR	RNA	123291.523	117905.579	102173.392	129943.72	113234.947	119771.047	114456.831333333	120983.238	FALSE	FALSE
GYPSY5	gypsy5	FBte0000308	LTR	RNA	13941.593	14025.611	12776.829	19008.642	14949.506	16322.47	13581.3443333333	16760.206	TRUE	FALSE
GYPSY6	gypsy6	FBte0001175	LTR	RNA	64123.958	62506.345	60147.304	65325.11	64049.294	62369.66	62259.2023333333	63914.688	FALSE	FALSE
GYPSY7	gypsy7	FBte0000171	LTR	RNA	28765.584	27918.95	23664.229	29932.121	25484.566	27770.965	26782.921	27729.2173333333	FALSE	FALSE
GYPSY9	gypsy9	FBte0000764	LTR	RNA	6487.221	6784.664	6081.074	7931.927	6258.788	6283.413	6450.98633333333	6824.70933333333	FALSE	FALSE
HEL	Helena	FBte0000984	non-LTR	RNA	6033.054	5775.201	5154.109	5768.451	5411.228	5827.854	5654.12133333333	5669.17766666667	FALSE	FALSE
HOPPER2	hopper2	FBte0000930	TIR	DNA	7767.159	7817.523	6877.463	7755.753	6422.764	7686.488	7487.38166666667	7288.335	FALSE	FALSE
INVADER	invader1	FBte0000357	LTR	RNA	40412.342	38738.944	38498.4	43581.931	38026.216	41377.503	39216.562	40995.2166666667	FALSE	FALSE
INVADER2	invader2	FBte0001084	LTR	RNA	96094.999	94266.732	80204.553	103594.035	89569.565	97775.59	90188.7613333333	96979.73	FALSE	FALSE
INVADER3	invader3	FBte0000619	LTR	RNA	35075.453	31939.554	31368.715	38480.523	33083.522	34122.674	32794.574	35228.9063333333	FALSE	FALSE
INVADER5	invader5	FBte0000188	LTR	RNA	4300.185	4022.268	3874.118	4911.049	4153.464	4789.617	4065.52366666667	4618.04333333333	FALSE	FALSE
INVADER6	invader6	FBte0000591	LTR	RNA	13686.838	13185.487	11807.454	14678.076	13200.455	13537.387	12893.2596666667	13805.306	FALSE	FALSE
IVK	Ivk	FBte0000608	non-LTR	RNA	71495.432	73810.674	68997.677	84953.9	72469.095	80767.933	71434.5943333333	79396.976	FALSE	FALSE
JOCKEY2	jockey2	FBte0001092	non-LTR	RNA	10278.338	9842.483	9336.36	11227.75	10092.619	10726.404	9819.06033333333	10682.2576666667	FALSE	FALSE
JUAN	Juan	FBte0000982	non-LTR	RNA	45639.371	44920.523	39764.34	45394.085	39606.81	42786.591	43441.4113333333	42595.8286666667	FALSE	FALSE
LOOPER1_DM	looper1	FBte0000323	TIR	DNA	3739.68	3880.416	3022.291	4216.961	3557.008	4060.219	3547.46233333333	3944.72933333333	FALSE	FALSE
MARINER2	mariner2	FBte0001033	TIR	DNA	7510.533	7746.112	6971.042	7915.304	7366.703	7465.688	7409.229	7582.565	FALSE	FALSE
McCLINTOCK	McClintock	FBte0000926	LTR	RNA	41000.188	36082.399	38329.626	41189.838	38584	41484.893	38470.7376666667	40419.577	FALSE	FALSE
OPUS	opus	FBte0000918	LTR	RNA	121135.765	131405.682	110820.922	105311.209	121940.277	124707.471	121120.789666667	117319.652333333	FALSE	FALSE
OSV	Osvaldo	FBte0000587	LTR	RNA	2130.906	1989.652	1917.403	2020.592	2133.401	2032.946	2012.65366666667	2062.313	FALSE	FALSE
PPI251	P-element	FBte0000037	TIR	DNA	42544.319	43421.831	36567.342	38232.59	36409	39740.892	40844.4973333333	38127.494	FALSE	FALSE
QBERT	accord2	FBte0001166	LTR	RNA	41118.817	36804.276	36682.151	39317.87	36843.125	40597.313	38201.748	38919.436	FALSE	FALSE
QUASIMODO	Quasimodo	FBte0000640	LTR	RNA	162456.232	137937.754	131064.895	146072.767	140617.338	153227.602	143819.627	146639.235666667	FALSE	FALSE
R1-2	R1-2	FBte0000720	non-LTR	RNA	3889.815	3660.257	4006.292	3517.728	4063.503	3546.216	3852.12133333333	3709.149	FALSE	FALSE
ROOA_LTR	rooA	FBte0000765	LTR	RNA	66293.117	66783.452	58641.672	71614.917	62507.573	67475.966	63906.0803333333	67199.4853333333	FALSE	FALSE
ROVER	rover	FBte0000692	LTR	RNA	67097.448	67829.028	54619.472	71014.229	61303.505	62119.05	63181.9826666667	64812.2613333333	FALSE	FALSE
ROXELEMENT	X-element	FBte0001160	non-LTR	RNA	69553.547	69810.527	66195.822	69034.689	73448.905	70515.926	68519.9653333333	70999.84	FALSE	FALSE
RT1B	Rt1b	FBte0000603	non-LTR	RNA	124458.536	129997.963	118727.253	125055.369	130213.244	117399.274	124394.584	124222.629	FALSE	FALSE
RT1C	Rt1c	FBte0000666	non-LTR	RNA	17293.629	17407.29	17294.989	16595.315	18852.658	17001.115	17331.9693333333	17483.0293333333	FALSE	FALSE
S2	S2	FBte0000709	TIR	DNA	6272.533	6321.09	5563.504	7005.556	6139.59	6521.902	6052.37566666667	6555.68266666667	FALSE	FALSE
SPRINGER	springer	FBte0000333	LTR	RNA	32085.663	39462.247	26799.869	39168.002	35011.302	35575.458	32782.593	36584.9206666667	FALSE	FALSE
STALKER2	Stalker2	FBte0000472	LTR	RNA	43320.798	36742.911	38243.311	48735.513	44105.162	42932.119	39435.6733333333	45257.598	FALSE	FALSE
STALKER3	Stalker3	FBte0001157	LTR	RNA	5109.523	5204.544	4803.425	5163.12	5017.333	5231.05	5039.164	5137.16766666667	FALSE	FALSE
TABOR	Tabor	FBte0000974	LTR	RNA	56737.741	47523.996	51230.135	45920.335	46608.771	55148.289	51830.624	49225.7983333333	FALSE	FALSE
TAHRE	TAHRE	FBte0000148	non-LTR	RNA	67574.26	77379.903	86362.604	86998.401	73207.467	91665.445	77105.589	83957.1043333333	FALSE	FALSE
TC1	Tc1	FBte0000927	TIR	DNA	26596.644	25436.113	23393.674	27193.738	24419.613	25572.914	25142.1436666667	25728.755	FALSE	FALSE
TC1-2	Tc1-2	FBte0000838	TIR	DNA	17400.71	17992.505	14897.665	19421.497	16461.562	17854.99	16763.6266666667	17912.683	FALSE	FALSE
TC3	Tc3	FBte0000044	TIR	DNA	4651.193	4516.425	3865.734	4956.718	4232.587	4597.638	4344.45066666667	4595.64766666667	FALSE	FALSE
Tinker	diver	FBte0000001	LTR	RNA	63400.975	75017.159	58080.551	71290.811	62844.907	63401.478	65499.5616666667	65845.732	FALSE	FALSE
TIRANT	Tirant	FBte0000179	LTR	RNA	52631.008	66412.927	53246.36	60683.457	50567.166	51195.269	57430.0983333333	54148.6306666667	FALSE	FALSE
TRANSIB1	transib1	FBte0000626	TIR	DNA	5962.468	6016.209	4957.6	6712.237	5666.461	5732.313	5645.42566666667	6037.00366666667	FALSE	FALSE
TRANSIB2	transib2	FBte0000885	TIR	DNA	33031.272	30360.702	27588.373	34328.329	29371.52	32264.973	30326.7823333333	31988.274	FALSE	FALSE
TRANSIB4	transib4	FBte0001174	TIR	DNA	5583.526	5465.358	4837.264	6163.673	5334.791	5712.495	5295.38266666667	5736.98633333333	FALSE	FALSE
