TEfam	flybase_name	fb_id	TEsubclass	TEclass	Mean_Cont	Mean_Sel	Diff_SelCont	log2_SelCont	Df_Study	F_value_Study	P_value_Study	Df_Regime	F_value_Regime	P_value_Regime	Df_Interaction	F_value_Interaction	P_value_Interaction	Df_resid	FDR_Study	FDR_Regime	FDR_Interaction
BS3	BS3	FBte0000420	non-LTR	RNA	15519.5944545455	17102.7510416667	1583.15658712121	0.140137548005982	3	130.992781667955	4.39029399706563e-20	1	3.7668930464294	0.0597213609400213	3	5.5495819942976	0.00293093895342486	38	4.39029399706563e-20	0.0597213609400213	0.00293093895342486
CIRC	Circe	FBte0000616	LTR	RNA	148781.271954545	162559.766458333	13778.4945037879	0.12777729790539	3	10.6722564115093	3.16055481848076e-05	1	5.1213828519591	0.0294293886540381	3	9.26230952147181	9.96580683545382e-05	38	3.16055481848076e-05	0.0294293886540381	9.96580683545382e-05
DIVER2	diver2	FBte0001178	LTR	RNA	40395.8849090909	43029.6322916667	2633.74738257576	0.0911221773635426	3	115.426719835808	3.85842109999102e-19	1	0.465782575553933	0.499073352504647	3	1.93106244829814	0.140975362869337	38	3.85842109999102e-19	0.499073352504647	0.140975362869337
DM_ROO	roo	FBte0000100	LTR	RNA	708520.926136364	762709.431708333	54188.5055719697	0.106323076606112	3	22.3605794418812	1.6432119310726e-08	1	5.00403325748782	0.0312333644089813	3	1.54211531327225	0.219358421801568	38	1.6432119310726e-08	0.0312333644089813	0.219358421801568
DM06920	HeT-A	FBte0000143	non-LTR	RNA	60588.0523636364	74506.9792916667	13918.9269280303	0.298342243383259	3	8.50910642170065	0.000189357012400509	1	12.2780769474745	0.00119145016150313	3	2.93650199988663	0.0455117948348251	38	0.000189357012400509	0.00119145016150313	0.0455117948348251
DM23420	3S18	FBte0000266	LTR	RNA	57576.5409090909	63432.3693333333	5855.82842424243	0.139738113807713	3	25.4753519866847	3.32531651733844e-09	1	1.76753026552793	0.191614545480901	3	1.66437150092465	0.190910801295829	38	3.32531651733844e-09	0.191614545480901	0.190910801295829
DM33463	S-element	FBte0001005	TIR	DNA	31462.0805454545	34257.771875	2795.69132954545	0.122817244199639	3	124.292022306544	1.08559423475071e-19	1	10.013751115719	0.00305495199401964	3	4.37818313572713	0.0096390744246321	38	1.08559423475071e-19	0.00305495199401964	0.0096390744246321
DM88	Dm88	FBte0000267	LTR	RNA	59863.4426363636	62338.448	2475.00536363637	0.05844698960833	3	27.6478623182418	1.17507116011796e-09	1	0.752825927057399	0.391029444490055	3	16.0316792516697	6.81499445694196e-07	38	1.17507116011796e-09	0.391029444490055	6.81499445694196e-07
DMBARI1	Bari1	FBte0000034	TIR	DNA	58486.0154545455	64552.222125	6066.20667045454	0.142375055011538	3	40.7303197432432	5.92327630294101e-12	1	3.76026418601785	0.0599361028335518	3	5.69237191873088	0.00254601639262583	38	5.92327630294101e-12	0.0599361028335518	0.00254601639262583
DMBLPP	flea	FBte0000660	LTR	RNA	77041.8698181818	76194.1849583333	-847.684859848479	-0.0159618207396794	3	2.20844088609388	0.102921625387049	1	0.187063109819167	0.667817024312555	3	1.57769744964155	0.210671905393229	38	0.102921625387049	0.667817024312555	0.210671905393229
DMCOPIA	copia	FBte0000023	LTR	RNA	217209.767363636	151369.508833333	-65840.2585303031	-0.521014354039646	3	75.8171628265559	4.25285966257995e-16	1	15.4132688575922	0.00035152782972879	3	17.5252335773497	2.64520519752604e-07	38	4.25285966257995e-16	0.00035152782972879	2.64520519752604e-07
DMCR1A	Cr1a	FBte0000140	non-LTR	RNA	262462.372681818	280428.374791667	17966.0021098485	0.0955217250877601	3	66.6460806936908	3.36968181612104e-15	1	20.3331240383993	6.06911759258737e-05	3	7.11209810357769	0.000659431131053748	38	3.36968181612104e-15	6.06911759258737e-05	0.000659431131053748
DMDM11	micropia	FBte0000042	LTR	RNA	55241.1862727273	59950.1790833333	4708.99281060606	0.11801976229289	3	24.0453349019863	6.81102402567199e-09	1	5.27479704136463	0.0272398209022545	3	8.99003671720339	0.000125386393394968	38	6.81102402567199e-09	0.0272398209022545	0.000125386393394968
DME010298	GATE	FBte0000359	LTR	RNA	116473.166409091	120050.635041667	3577.46863257576	0.0436454162817685	3	113.265661316681	5.32626669792355e-19	1	0.00373020652463419	0.951619249460692	3	2.85592264266176	0.0497682314734222	38	5.32626669792355e-19	0.951619249460692	0.0497682314734222
DME278684	Rt1a	FBte0000457	non-LTR	RNA	57958.5545909091	63334.4295833333	5375.87499242424	0.127968367966192	3	139.234624145282	1.52493050695494e-20	1	0.466428982671108	0.498777502261401	3	1.81117477726806	0.161559509499171	38	1.52493050695494e-20	0.498777502261401	0.161559509499171
DME487856	Max-element	FBte0000304	LTR	RNA	111037.422909091	115785.013458333	4747.59054924242	0.0604025417144628	3	70.7672630617936	1.29272141050775e-15	1	0.241346949088228	0.626060541237141	3	3.74568917252921	0.0188259940965765	38	1.29272141050775e-15	0.626060541237141	0.0188259940965765
DME9736	Idefix	FBte0000104	LTR	RNA	135465.175090909	152593.2005	17128.0254090909	0.171768661320416	3	16.7888477133458	4.19352950256443e-07	1	15.4643615387523	0.000344849237760026	3	7.13231664516112	0.000647268536851962	38	4.19352950256443e-07	0.000344849237760026	0.000647268536851962
DMGYPF1A	gypsy	FBte0000021	LTR	RNA	31117.3271363636	34331.1295416667	3213.80240530303	0.141799181276321	3	74.4149201573932	5.75365473968518e-16	1	3.66150479980377	0.0632389015498899	3	12.9462861333096	5.65220565474117e-06	38	5.75365473968518e-16	0.0632389015498899	5.65220565474117e-06
DMHFL1	hobo	FBte0000154	TIR	DNA	64098.2483636364	65895.6754166667	1797.4270530303	0.0398988552194348	3	65.8753007197166	4.05312935387369e-15	1	0.888357339764963	0.351876810641379	3	0.322093927977003	0.809334523265112	38	4.05312935387369e-15	0.351876810641379	0.809334523265112
DMIFACA	I-element	FBte0000133	non-LTR	RNA	168244.225681818	127825.518791667	-40418.7068901515	-0.396381109531486	3	19.399553842786	8.5848506919636e-08	1	8.46604372073841	0.0060178797699421	3	11.9068849887117	1.21828171047041e-05	38	8.5848506919636e-08	0.0060178797699421	1.21828171047041e-05
DMIS176	17.6	FBte0000109	LTR	RNA	184756.482409091	172857.117708333	-11899.3647007576	-0.0960449735612157	3	11.8512808716532	1.27047507083161e-05	1	0.175698721257932	0.677456142659626	3	3.55675298980301	0.0230756334203357	38	1.27047507083161e-05	0.677456142659626	0.0230756334203357
DMIS297	297	FBte0000675	LTR	RNA	217126.270227273	210319.653083333	-6806.61714393939	-0.045950621599259	3	36.3267140447818	2.99925274399384e-11	1	0.0174811501429103	0.895510825790209	3	0.547225417351408	0.653047019403136	38	2.99925274399384e-11	0.895510825790209	0.653047019403136
DMLINEJA	jockey	FBte0000088	non-LTR	RNA	128981.428681818	132906.687708333	3925.25902651515	0.0432503461887381	3	18.3541222963766	1.59510857044351e-07	1	0.0084622814689797	0.927188715919327	3	2.7282597131583	0.0573704236868405	38	1.59510857044351e-07	0.927188715919327	0.0573704236868405
DMMDG3	mdg3	FBte0000010	LTR	RNA	72832.0706818182	73647.4737916667	815.403109848485	0.0160621768518076	3	15.909803747475	7.37754837575708e-07	1	0.0393226061883657	0.84386800130442	3	4.54233057533923	0.00812663912206803	38	7.37754837575708e-07	0.84386800130442	0.00812663912206803
DMPOGOR11	pogo	FBte0000568	TIR	DNA	37293.7154090909	40956.1195416667	3662.40413257576	0.135146497534915	3	16.421371462218	5.29987160572612e-07	1	6.14760197553682	0.0177095739335822	3	4.83180856756037	0.00603289964772553	38	5.29987160572612e-07	0.0177095739335822	0.00603289964772553
DMREPG	G-element	FBte0000657	non-LTR	RNA	39318.4077727273	32640.66575	-6677.74202272727	-0.268534416582563	3	62.223308414348	9.97124201850511e-15	1	22.354816676843	3.09269506970664e-05	3	3.84098917866788	0.01699960336236	38	9.97124201850511e-15	3.09269506970664e-05	0.01699960336236
DMRER1DM	R1A1-element	FBte0000118	non-LTR	RNA	773708.359727273	727102.02475	-46606.3349772728	-0.0896320489556978	3	30.8738818264853	2.7643625693638e-10	1	5.15483001701482	0.0289362071454609	3	1.38481056134747	0.262166195291388	38	2.7643625693638e-10	0.0289362071454609	0.262166195291388
DMRER2DM	R2-element	FBte0000030	non-LTR	RNA	76783.0854545454	77502.9613333333	719.875878787891	0.0134629011327738	3	9.83918584387514	6.17920408056032e-05	1	0.249340977696525	0.620418369120151	3	0.806510745114672	0.498118596106367	38	6.17920408056032e-05	0.620418369120151	0.498118596106367
DMRTMGD1	mdg1	FBte0000015	LTR	RNA	158582.915545455	161304.777333333	2721.86178787879	0.0245518121624561	3	42.6153651896879	3.07913454666418e-12	1	0.163877487375096	0.687881273774671	3	11.0749458918981	2.30409171436168e-05	38	3.07913454666418e-12	0.687881273774671	2.30409171436168e-05
DMTHB1	HB	FBte0000414	TIR	DNA	18701.9003181818	21044.0990416667	2342.19872348485	0.170230873882178	3	99.8442054154728	4.50381428624448e-18	1	12.6392780785503	0.00103036617611289	3	7.09886006241338	0.000667524226038291	38	4.50381428624448e-18	0.00103036617611289	0.000667524226038291
DMTN1731	1731	FBte0000003	LTR	RNA	41498.1305909091	45314.5185416667	3816.38795075758	0.126927009150068	3	34.7476831118021	5.55864637322289e-11	1	0.911264979872419	0.34581254141015	3	4.69890530407716	0.00691380368360992	38	5.55864637322289e-11	0.34581254141015	0.00691380368360992
DMTOM1_LTR	Tom1	FBte0000400	LTR	RNA	2444.52572727273	2528.565	84.0392727272729	0.0487642762763273	3	30.5197466796173	3.22330823267265e-10	1	3.04066607030014	0.0892886963313592	3	0.123711226594436	0.945531980290297	38	3.22330823267265e-10	0.0892886963313592	0.945531980290297
DMTRDNA	hopper	FBte0000670	TIR	DNA	28312.9216363636	28654.7807916667	341.859155303031	0.0173152297656643	3	14.2375644992351	2.26684270841197e-06	1	0.873200520492491	0.355971149358892	3	0.510402235538611	0.677516124822808	38	2.26684270841197e-06	0.355971149358892	0.677516124822808
DMU89994	Burdock	FBte0000739	LTR	RNA	65760.9012272727	69667.1415833333	3906.2403560606	0.0832483005473516	3	40.7923129274224	5.79509867191758e-12	1	3.95462376351603	0.0539795540515215	3	5.22717170883012	0.00404162416560713	38	5.79509867191758e-12	0.0539795540515215	0.00404162416560713
DMW1DOC	Doc	FBte0000341	non-LTR	RNA	286520.032909091	266054.946125	-20465.0867840909	-0.106911788509886	3	14.3550951229632	2.09034129993406e-06	1	3.96650507830776	0.0536372480402121	3	1.65457933112785	0.193047832224194	38	2.09034129993406e-06	0.0536372480402121	0.193047832224194
DMZAM	ZAM	FBte0000217	LTR	RNA	32616.8656818182	27907.3225833333	-4709.54309848485	-0.224974433415428	3	22.5842437407235	1.45845009462568e-08	1	3.56484747503042	0.0666680977786509	3	5.53673286176301	0.0029684433312058	38	1.45845009462568e-08	0.0666680977786509	0.0029684433312058
DOC2	Doc2-element	FBte0000103	non-LTR	RNA	80136.7858181818	71796.1072916667	-8340.67852651514	-0.158559021532249	3	21.9112096609432	2.09293677520405e-08	1	7.97401823548654	0.00751510662022338	3	6.61059810477563	0.00105217686177474	38	2.09293677520405e-08	0.00751510662022338	0.00105217686177474
DOC3	Doc3-element	FBte0001140	non-LTR	RNA	102911.274454545	101923.0115	-988.262954545455	-0.0139212351090461	3	10.7208040084709	3.04156696432569e-05	1	1.05670560855073	0.310466902832787	3	1.26441981377149	0.300309300730383	38	3.04156696432569e-05	0.310466902832787	0.300309300730383
DOC4	Doc4-element	FBte0001039	non-LTR	RNA	11196.9859090909	12238.181875	1041.19596590909	0.128278815953296	3	488.116027098366	2.25020419931392e-30	1	36.2881776040537	5.27769351857008e-07	3	30.7907074790487	2.86558958999956e-10	38	2.25020419931392e-30	5.27769351857008e-07	2.86558958999956e-10
DOC5	Porto1	FBte0000791	non-LTR	RNA	49259.1422272727	45032.667125	-4226.47510227273	-0.129419579809296	3	14.9390941392322	1.40425285334949e-06	1	1.27557910650401	0.265801974756572	3	4.5003400567302	0.00848829613175232	38	1.40425285334949e-06	0.265801974756572	0.00848829613175232
F	F-element	FBte0000005	non-LTR	RNA	482253.837136364	451198.160625	-31055.6765113637	-0.0960315309812671	3	2.9914298211668	0.0428272140176589	1	7.79694445481332	0.00814759191962758	3	4.33774773045196	0.0100549281853902	38	0.0428272140176589	0.00814759191962758	0.0100549281853902
FROGGER	frogger	FBte0000314	LTR	RNA	4937.4415	5715.24229166667	777.800791666667	0.211051006391365	3	27.8610062391965	1.06423719577999e-09	1	6.97406189208779	0.0119351011056458	3	9.47887667301103	8.31755700486649e-05	38	1.06423719577999e-09	0.0119351011056458	8.31755700486649e-05
FW2	Fw2	FBte0001002	non-LTR	RNA	11649.3029545455	12485.003	835.700045454545	0.0999525352902008	3	79.7107646575643	1.88269406774354e-16	1	21.2054589563405	4.52312094325001e-05	3	19.5393508675191	7.91412840465431e-08	38	1.88269406774354e-16	4.52312094325001e-05	7.91412840465431e-08
FW3	Fw3	FBte0000636	non-LTR	RNA	6714.50159090909	7014.92258333333	300.420992424242	0.0631468681835431	3	55.9381243947178	5.22662548492307e-14	1	1.15970933004657	0.288315287428399	3	2.35340777506734	0.0873722943179097	38	5.22662548492307e-14	0.288315287428399	0.0873722943179097
G2	G2	FBte0000800	non-LTR	RNA	38401.3615909091	34486.987625	-3914.37396590909	-0.155105347718421	3	34.7613460551469	5.52857099804873e-11	1	11.5601364290784	0.00159644312146119	3	2.32272431978951	0.0904503038620592	38	5.52857099804873e-11	0.00159644312146119	0.0904503038620592
G3	G3	FBte0001171	non-LTR	RNA	7507.26786363636	8124.79366666667	617.525803030303	0.114043215403333	3	12.77168195938	6.41703589016056e-06	1	29.2111523194946	3.72793411582915e-06	3	11.5211226747037	1.63288076517248e-05	38	6.41703589016056e-06	3.72793411582915e-06	1.63288076517248e-05
G4_DM	G4	FBte0000290	non-LTR	RNA	32892.9201818182	36354.4404166667	3461.52023484848	0.144354495005258	3	17.7610326088418	2.28759132690219e-07	1	19.382965383175	8.40701627881782e-05	3	4.64342100963063	0.00732038885538076	38	2.28759132690219e-07	8.40701627881782e-05	0.00732038885538076
G5_DM	G5	FBte0001128	non-LTR	RNA	31305.4581363636	33307.033625	2001.57548863636	0.0894126567832061	3	89.590847806753	2.75069560159939e-17	1	1.16382031226854	0.28747504187151	3	1.78405210102507	0.166620160945458	38	2.75069560159939e-17	0.28747504187151	0.166620160945458
G5A	G5A	FBte0000174	non-LTR	RNA	17175.0760454545	18799.5242916667	1624.44824621212	0.130379669187214	3	202.989976762993	1.98097210819491e-23	1	9.86834020898086	0.00325174202165874	3	16.2484465362116	5.92307095333808e-07	38	1.98097210819491e-23	0.00325174202165874	5.92307095333808e-07
G6_DM	G6	FBte0000958	non-LTR	RNA	17599.6945	16387.3424166667	-1212.35208333334	-0.102968479085247	3	37.6761946385455	1.79759429586489e-11	1	5.39514516794119	0.0256459965460509	3	4.64543161942873	0.00730522757107824	38	1.79759429586489e-11	0.0256459965460509	0.00730522757107824
G7	G7	FBte0000690	non-LTR	RNA	1117.55354545455	1160.13454166667	42.5809962121211	0.0539481684172376	3	41.1751639812648	5.06553351492444e-12	1	0.347285305986309	0.55914143947454	3	1.33203769806591	0.278272942330896	38	5.06553351492444e-12	0.55914143947454	0.278272942330896
GTWIN	gtwin	FBte0001062	LTR	RNA	17643.4042727273	18481.03575	837.631477272727	0.0669166593765758	3	39.3572498390134	9.67938669883492e-12	1	0.902811958505902	0.348033217806319	3	2.41724437238549	0.08130690328037	38	9.67938669883492e-12	0.348033217806319	0.08130690328037
GYPSY10	gypsy10	FBte0000351	LTR	RNA	23350.7257272727	25436.5214166667	2085.79568939394	0.123433998906544	3	109.549050459964	9.3954434652999e-19	1	16.2418921782168	0.000258218937006139	3	30.8012437657425	2.85255346477e-10	38	9.3954434652999e-19	0.000258218937006139	2.85255346477e-10
GYPSY2	gypsy2	FBte0001040	LTR	RNA	39017.1624090909	41286.7055833333	2269.54317424243	0.0815684459536329	3	98.4512983054557	5.7022756360412e-18	1	0.580740648918556	0.450726479840056	3	2.46234482099438	0.0772828431549192	38	5.7022756360412e-18	0.450726479840056	0.0772828431549192
GYPSY3	gypsy3	FBte0001030	LTR	RNA	21403.8544545455	23380.3211666667	1976.46671212121	0.127424123954203	3	85.2913084053168	6.20326916075944e-17	1	2.82612219015261	0.100944832808645	3	7.26427463508096	0.0005734524434052	38	6.20326916075944e-17	0.100944832808645	0.0005734524434052
GYPSY4	gypsy4	FBte0000688	LTR	RNA	103579.566909091	112408.574166667	8829.00725757577	0.118012652579919	3	52.305761238229	1.46050960383843e-13	1	35.8882692277233	5.86280088515181e-07	3	18.1694140200873	1.78337618108594e-07	38	1.46050960383843e-13	5.86280088515181e-07	1.78337618108594e-07
GYPSY6	gypsy6	FBte0001175	LTR	RNA	60424.1616818182	61926.3603333333	1502.19865151516	0.0354281030940563	3	26.6212166887803	1.90761460611269e-09	1	0.0207965201437822	0.886096764732763	3	2.65543522658683	0.0622330010708612	38	1.90761460611269e-09	0.886096764732763	0.0622330010708612
GYPSY7	gypsy7	FBte0000171	LTR	RNA	26198.3448636364	28903.2890833333	2704.94421969697	0.141758005921961	3	7.92634666220934	0.000315701076569555	1	33.7328567025226	1.04414793356895e-06	3	16.0056053345855	6.93143356047578e-07	38	0.000315701076569555	1.04414793356895e-06	6.93143356047578e-07
HEL	Helena	FBte0000984	non-LTR	RNA	5423.68045454545	6092.207	668.526545454546	0.16769278019058	3	81.1109517051089	1.41622378954393e-16	1	18.7559118351408	0.000104587167056972	3	24.5623127497888	5.23951105956851e-09	38	1.41622378954393e-16	0.000104587167056972	5.23951105956851e-09
HOPPER2	hopper2	FBte0000930	TIR	DNA	6750.44413636364	7542.91566666667	792.471530303031	0.160139870547945	3	14.551127975715	1.8273645381874e-06	1	9.75807407803995	0.00340995267947148	3	3.98731129278285	0.0145460602184954	38	1.8273645381874e-06	0.00340995267947148	0.0145460602184954
INVADER	invader1	FBte0000357	LTR	RNA	39971.2030909091	41352.5644583333	1381.36136742424	0.0490158031671168	3	18.6852792987489	1.30803448796249e-07	1	0.5210040657312	0.474832060430844	3	4.57262361810698	0.00787574082130172	38	1.30803448796249e-07	0.474832060430844	0.00787574082130172
INVADER2	invader2	FBte0001084	LTR	RNA	102934.744681818	104202.516416667	1267.77173484849	0.017660085141238	3	23.5448536833997	8.81064158861894e-09	1	2.24727870118068	0.142112213556373	3	3.43343621508114	0.0263769442296491	38	8.81064158861894e-09	0.142112213556373	0.0263769442296491
INVADER3	invader3	FBte0000619	LTR	RNA	35206.3082727273	38311.4845833333	3105.17631060606	0.12194297739415	3	27.9081572695526	1.04123916260361e-09	1	20.7198772696105	5.324214920387e-05	3	9.46745308805809	8.39691168512974e-05	38	1.04123916260361e-09	5.324214920387e-05	8.39691168512974e-05
INVADER6	invader6	FBte0000591	LTR	RNA	11272.8914090909	12904.1105416667	1631.21913257576	0.19497309930293	3	7.82101710882877	0.000346743573361163	1	11.7605470280262	0.00147044750334697	3	10.9749540778578	2.49102346209246e-05	38	0.000346743573361163	0.00147044750334697	2.49102346209246e-05
IVK	Ivk	FBte0000608	non-LTR	RNA	88463.2261363636	81848.5979166667	-6614.62821969697	-0.112120153119935	3	1.7252331477437	0.178146368159865	1	5.3496877179338	0.0262357901241936	3	5.81783453764778	0.0022514691637479	38	0.178146368159865	0.0262357901241936	0.0022514691637479
JOCKEY2	jockey2	FBte0001092	non-LTR	RNA	10977.0749545455	12586.06375	1608.98879545455	0.197333482802757	3	274.607107565474	8.58864680682154e-26	1	75.3333629206948	1.49845881187257e-10	3	44.4694867137568	1.65260206778159e-12	38	8.58864680682154e-26	1.49845881187257e-10	1.65260206778159e-12
JUAN	Juan	FBte0000982	non-LTR	RNA	47810.4590909091	51290.8528333333	3480.39374242424	0.101375300817818	3	27.6898284844153	1.15232533659204e-09	1	5.79544858013077	0.0210312361769476	3	1.01191485967968	0.398092099404212	38	1.15232533659204e-09	0.0210312361769476	0.398092099404212
LOOPER1_DM	looper1	FBte0000323	TIR	DNA	3888.85395454545	4600.08595833333	711.232003787879	0.24231576442829	3	38.0359043871839	1.57190262607422e-11	1	30.9808921020539	2.24173544633774e-06	3	16.8757976906895	3.969165695537e-07	38	1.57190262607422e-11	2.24173544633774e-06	3.969165695537e-07
MARINER2	mariner2	FBte0001033	TIR	DNA	8284.77263636364	8992.49858333333	707.725946969698	0.118259921775035	3	463.679864355495	5.8176459157368e-30	1	20.1254252981626	6.51387839197005e-05	3	22.3023193472076	1.69527485117233e-08	38	5.8176459157368e-30	6.51387839197005e-05	1.69527485117233e-08
McCLINTOCK	McClintock	FBte0000926	LTR	RNA	49309.9532727273	47671.0497083333	-1638.90356439394	-0.0487654920533286	3	21.0892381241253	3.28424162485269e-08	1	0.00866255952133951	0.926334657207006	3	2.3048905382125	0.0922899523069429	38	3.28424162485269e-08	0.926334657207006	0.0922899523069429
OPUS	opus	FBte0000918	LTR	RNA	116226.925454545	115328.796375	-898.129079545455	-0.0111915426372745	3	29.5698148628606	4.89705039109928e-10	1	1.75366707225399	0.193326677589001	3	1.52214349354917	0.224387767305487	38	4.89705039109928e-10	0.193326677589001	0.224387767305487
OSV	Osvaldo	FBte0000587	LTR	RNA	2102.0945	2181.36945833333	79.274958333333	0.0534066124446071	3	179.851726888613	1.70550129657838e-22	1	0.448617778942862	0.507041931021996	3	0.343023965085359	0.794339221828843	38	1.70550129657838e-22	0.507041931021996	0.794339221828843
PPI251	P-element	FBte0000037	TIR	DNA	55584.8911818182	62976.0039166667	7391.11273484849	0.180109425718178	3	11.8791539540663	1.24402403417518e-05	1	1.37644580615267	0.248009183880478	3	13.2008915233752	4.70421818962875e-06	38	1.24402403417518e-05	0.248009183880478	4.70421818962875e-06
QBERT	accord2	FBte0001166	LTR	RNA	47688.9268636364	45865.884625	-1823.04223863636	-0.0562328527854172	3	7.83871247363642	0.000341312467222813	1	1.15173931945226	0.289953457275921	3	5.56473610657914	0.00288734313792986	38	0.000341312467222813	0.289953457275921	0.00288734313792986
QUASIMODO	Quasimodo	FBte0000640	LTR	RNA	175384.807590909	190041.18075	14656.3731590909	0.115788293333035	3	51.6258577113965	1.78149811452345e-13	1	5.34258614698741	0.0263292521610875	3	2.87360950872421	0.0488000406519118	38	1.78149811452345e-13	0.0263292521610875	0.0488000406519118
ROOA_LTR	rooA	FBte0000765	LTR	RNA	59637.2671818182	69330.6950416667	9693.42785984848	0.217280074569883	3	190.671150202831	6.0457262952942e-23	1	105.864167805143	1.53731725211218e-12	3	96.5025595925651	7.97211872640018e-18	38	6.0457262952942e-23	1.53731725211218e-12	7.97211872640018e-18
ROVER	rover	FBte0000692	LTR	RNA	80352.0022727273	64598.738875	-15753.2633977273	-0.314827974261327	3	43.5075375115214	2.27656912574731e-12	1	7.60524886210686	0.00889709352025053	3	6.57540128968262	0.00108768781317947	38	2.27656912574731e-12	0.00889709352025053	0.00108768781317947
ROXELEMENT	X-element	FBte0001160	non-LTR	RNA	62559.5838181818	67329.6098333333	4770.02601515152	0.106010189563856	3	99.5702847260632	4.71662056299946e-18	1	0.588438452983827	0.447763644794621	3	3.79069216256821	0.0179393543691282	38	4.71662056299946e-18	0.447763644794621	0.0179393543691282
RT1B	Rt1b	FBte0000603	non-LTR	RNA	145684.189863636	147675.948458333	1991.75859469696	0.0195905579945061	3	98.3538378269088	5.7978319050761e-18	1	1.30340113812487	0.260736282111047	3	1.14041474164418	0.345114546775181	38	5.7978319050761e-18	0.260736282111047	0.345114546775181
S2	S2	FBte0000709	TIR	DNA	7003.98627272727	8299.60204166667	1295.61576893939	0.244865906005894	3	53.3894009175766	1.06862204118549e-13	1	26.2938573325971	8.9019627524377e-06	3	12.8963916638971	5.86045362591512e-06	38	1.06862204118549e-13	8.9019627524377e-06	5.86045362591512e-06
SPRINGER	springer	FBte0000333	LTR	RNA	36850.9710454545	37488.32775	637.356704545447	0.0247388367382	3	64.1858610266906	6.11439671652532e-15	1	1.12802955129192	0.294899549229219	3	4.55684823563087	0.00800537346486472	38	6.11439671652532e-15	0.294899549229219	0.00800537346486472
STALKER2	Stalker2	FBte0000472	LTR	RNA	47489.0870454545	49877.5693333333	2388.48228787879	0.0707951391585449	3	52.6813752633343	1.3098508863266e-13	1	0.158998743977147	0.692311948362626	3	5.09629303396189	0.00461102151836431	38	1.3098508863266e-13	0.692311948362626	0.00461102151836431
