TEfam	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length
BS4	FBte0001042	nnnnnnnn	Dmel/BS4	Dmel	BS4	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|BS|BS4_DM;JOCKEY_clade|ORF2|reverse_transcriptase.	non-LTR	RNA	754
BUT1	FBte0000332	AF162798	Dbuz/BuT1	Dbuz	BuT1	terminal_inverted_repeat_element	NA	NA	NA	NA	NA	NA	0	NA	NA	TIR	DNA	769
BUT2	FBte0000339	AF368884	Dbuz/BuT2	Dbuz	BuT2	terminal_inverted_repeat_element	NA	hAT	NA	NA	Drosophila_buzzatii	100	1	NA	hAT|DNA_transposon|Transposable_Element|But2.	TIR	DNA	2775
BUT3	FBte0000935	AF368870	Dbuz/BuT3	Dbuz	BuT3	terminal_inverted_repeat_element	NA	NA	NA	NA	NA	NA	0	NA	NA	TIR	DNA	795
BUT4	FBte0000890	AF368868	Dbuz/BuT4	Dbuz	BuT4	terminal_inverted_repeat_element	NA	P	NA	NA	Drosophila_buzzatii	96.169	2	NA	P|DNA_transposon|Transposable_Element|Galileo_DB.	TIR	DNA	1447
BUT5	FBte0001188	AY187768	Dbuz/BuT5	Dbuz	BuT5	terminal_inverted_repeat_element	NA	NA	NA	NA	NA	NA	0	NA	NA	TIR	DNA	669
BUT6	FBte0001122	AY187768	Dbuz/BuT6	Dbuz	BuT6	terminal_inverted_repeat_element	NA	NA	NA	NA	NA	NA	0	NA	NA	TIR	DNA	387
CIRC	FBte0000616	nnnnnnnn	Dmel/Circe	Dmel	Circe	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Composite	Drosophila_melanogaster	98.755	1	NA	LTR_Retrotransposon|Transposable_Element|CIRCE;composite_transposon|non_LTR_retrotransposon.	LTR	RNA	7450
DBU133521	FBte0000588	AJ133521	Dbuz/Osvaldo	Dbuz	Osvaldo	LTR_retrotransposon	NA	Gypsy	NA	NA	Drosophila_buzzatii	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|OSVALDO|OSVALDO_I|OSVALDO_LTR;endogenous_retrovirus|env|gag|integrase|protease;reverse_transcriptase|Ribonuclease_H|internal_portion.	LTR	RNA	9045
DDBARI1	FBte0000962	Y13852	Ddip/Bari1	Ddip	Bari1	terminal_inverted_repeat_element	NA	Mariner/Tc1	NA	NA	Drosophila_erecta	91.304	2	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI1|DEBARI1;pseudogene|Repeat_region|transposase|transposon.	TIR	DNA	1676
DFU309320	FBte0001144	AJ309320	Dfun/Isfun-1	Dfun	Isfun-1	terminal_inverted_repeat_element	NA	ISFUN1	NA	NA	Drosophila_funebris	100	1	NA	ISFUN1|direct_repeat|Dispersed_repeat|insertion_sequence;Inverted_repeat.	TIR	DNA	928
DH14600	FBte0001189	U14600	Dhyd/Bungy	Dhyd	Bungy	SINE-like_elements	NA	NA	NA	NA	NA	NA	0	NA	NA	SINE-like	RNA	227
DHMINOS	FBte0000026	Z29098	Dhyd/Minos	Dhyd	Minos	terminal_inverted_repeat_element	NA	Mariner/Tc1	NA	NA	Drosophila_hydei	99.886	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|MINOS;Tc1-like_transposable_element|transposase|transposon.	TIR	DNA	1773
DHUHUH3	FBte0000190	X63028	Dhet/Uhu	Dhet	Uhu	terminal_inverted_repeat_element	NA	Mariner/Tc1	NA	NA	Drosophila_heteroneura	95.413	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Long_terminal_repeat|Tc1-like_transposable_element|UHU;Repetitive_sequence.	TIR	DNA	1658
DIVER2	FBte0001178	nnnnnnnn	Dmel/diver2	Dmel	diver2	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	NA	BEL|LTR_Retrotransposon|Transposable_Element|Nonautonomous;gag|Retrovirus|endonuclease|internal_portion;nonautonomous_LTR_retrotransposon|RT|the_BCDRP_group;DIVER2_LTR|DIVER2_I.	LTR	RNA	4917
DK29466	FBte0000028	U29466	Dkoe/Gandalf	Dkoe	Gandalf	terminal_inverted_repeat_element	NA	NA	NA	NA	NA	NA	0	NA	NA	TIR	DNA	979
DM_ROO	FBte0000100	AY180917	Dmel/roo	Dmel	roo	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	99.612	1	NA	BEL|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|ORF1|gag|pol|BCDPR_superfamily|env;internal_portion|B104|ROO_LTR|ROO_I.	LTR	RNA	9092
DM06920	FBte0000143	U06920	Dmel/HeT-A	Dmel	HeT-A	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	99.984	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|HETA;telomere.	non-LTR	RNA	6083
DM14101	FBte0001207	U14101	Dmel/TART-B	Dmel	TART-B	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;Repetitive_sequence|TARTB1|TART_B1.	non-LTR	RNA	10654
DM23420	FBte0000266	U23420	Dmel/3S18	Dmel	3S18	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	1	BEL|LTR_Retrotransposon|Transposable_Element|BEL_I|BEL_LTR;endogenous_retrovirus|endonuclease|gag|reverse_transcriptase;internal_portion.	LTR	RNA	6126
DM33463	FBte0001005	U33463	Dmel/S-element	Dmel	S-element	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|S_DM|TIR;Tc1/mariner_superfamily|transposase.	TIR	DNA	1736
DM88	FBte0000267	nnnnnnnn	Dmel/Dm88	Dmel	Dm88	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	1	Copia|LTR_Retrotransposon|Transposable_Element|COPIA2I_DM;COPIA2LTR_DM|Retrovirus|COPIA_superfamily;gag-reverse_transcriptase.	LTR	RNA	4558
DMAURA	FBte0000112	nnnnnnnn	Dmel/aurora-element	Dmel	aurora-element	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_simulans	97.228	2	NA	BEL|LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|internal_portion|PAO_subgroup|NINJA_I.	LTR	RNA	4263
DMBARI1	FBte0000034	X67681	Dmel/Bari1	Dmel	Bari1	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI_DM;DMBARI1|Mobile_genetic_element|transposon.	TIR	DNA	1728
DMBLPP	FBte0000660	Z27119	Dmel/flea	Dmel	flea	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	1	Gypsy|LTR_Retrotransposon|Transposable_Element|BLASTOPIA_I;BLASTOPIA_LTR|Gypsy_superfamily|gag|pol|internal_portion.	LTR	RNA	5034
DMCOPIA	FBte0000023	X02599	Dmel/copia	Dmel	copia	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	NA	Copia|LTR_Retrotransposon|Transposable_Element|COPIA_DM;COPIA_DM_I|COPIA_DM_LTR|Copia_element|DMCOPIA;Long_terminal_repeat|Repetitive_element|internal_portion.	LTR	RNA	5143
DMCR1A	FBte0000140	nnnnnnnn	Dmel/Cr1a	Dmel	Cr1a	non_LTR_retrotransposon	LINE	CR1	CR1	CR1	Drosophila_melanogaster	100	1	NA	CR1|Non-LTR_Retrotransposon|Transposable_Element;CR1_superfamily|DMCR1A|ORF1|ORF2.	non-LTR	RNA	4470
DMDM11	FBte0000042	X14037	Dmel/micropia	Dmel	micropia	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Gypsy	Drosophila_melanogaster	99.911	1	NA	LTR_Retrotransposon|Transposable_Element|DM2|MICROPIA_I;MICROPIA_LTR|gag|pol|internal_portion.	LTR	RNA	5461
DME010298	FBte0000359	AJ010298	Dmel/GATE	Dmel	GATE	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	1	BEL|LTR_Retrotransposon|Transposable_Element|Retrovirus;internal_portion|polyprotein|BATUMI_LTR|BATUMI_I.	LTR	RNA	8507
DME278684	FBte0000457	AJ278684	Dmel/Rt1a	Dmel	Rt1a	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	98.01	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|DMRT1|DMRT1A|Waldo-B.	non-LTR	RNA	5108
DME487856	FBte0000304	AJ487856	Dmel/Max-element	Dmel	Max-element	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	NA	BEL|LTR_Retrotransposon|Transposable_Element|BCDRP_superfamily;BEL-PAO_superfamily|MAX|MAX_I|MAX_LTR|endogenous_retrovirus;polyprotein|internal_portion.	LTR	RNA	8556
DME9736	FBte0000104	AJ009736	Dmel/Idefix	Dmel	Idefix	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.968	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|gag|pol;Gypsy_superfamily|env|internal_portion|IDEFIX_I|IDEFIX_LTR.	LTR	RNA	7411
DMGYPF1A	FBte0000021	M12927	Dmel/gypsy	Dmel	gypsy	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|GYPSY_DM;GYPSY_I|GYPSY_I.|GYPSY_LTR|endogenous_retrovirus|env|gag;pol|internal_portion.	LTR	RNA	7469
DMHFL1	FBte0000154	M69216	Dmel/hobo	Dmel	hobo	terminal_inverted_repeat_element	DNA	hAT	hAT	hAT	Drosophila_melanogaster	99.791	1	NA	hAT|DNA_transposon|Transposable_Element|DMHOBOG|HOBO;Autonomous_DNA_transposon|hAT_superfamily|transposase.	TIR	DNA	2959
DMIFACA	FBte0000133	M14954	Dmel/I-element	Dmel	I-element	non_LTR_retrotransposon	LINE	I	I	I	Drosophila_melanogaster	99.963	1	NA	I|Non-LTR_Retrotransposon|Transposable_Element|DMI|I_DM.	non-LTR	RNA	5371
DMIS176	FBte0000109	X01472	Dmel/17.6	Dmel	17.6	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|transposon;reverse_transcriptase|Long_terminal_repeat|Repetitive_element;Copia-like_element|DM176.	LTR	RNA	7439
DMIS297	FBte0000675	X03431	Dmel/297	Dmel	297	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|DM297_I;DM297_LTR|endogenous_retrovirus|Gypsy_superfamily|env|gag;pol|internal_portion.	LTR	RNA	6995
DMLINEJA	FBte0000088	M22874	Dmel/jockey	Dmel	jockey	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;LINE_repetitive_sequence|dispersed_repetitive_element;long_interspersed_element|J1|LINEJ1_DM.	non-LTR	RNA	5020
DMMAR	FBte0000102	M14653	Dmau/mariner	Dmau	mariner	terminal_inverted_repeat_element	NA	Mariner/Tc1	NA	NA	Drosophila_mauritiana	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|DMAMARINER;MARINER_DMA|mariner|transposase.	TIR	DNA	1286
DMMDG3	FBte0000010	X95908	Dmel/mdg3	Dmel	mdg3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy-like_retrotransposon_MDG3|LTR|MDG3_DM;mobile_dispersed_genetic_element.	LTR	RNA	5519
DMPOGOR11	FBte0000568	X59837	Dmel/pogo	Dmel	pogo	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Pogo	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|pogo;transposon.	TIR	DNA	2121
DMREPG	FBte0000657	X06950	Dmel/G-element	Dmel	G-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;G_LINE-like_retrotransposon|G_DM|ORF1|ORF2.	non-LTR	RNA	4346
DMRER1DM	FBte0000118	X51968	Dmel/R1A1-element	Dmel	R1A1-element	non_LTR_retrotransposon	LINE	Non-LTR_Retrotransposon	?	R1	Drosophila_melanogaster	100	1	NA	Non-LTR_Retrotransposon|Transposable_Element|transposon;reverse_transcriptase|integrase|retrotransposon|DMR1|R1_DM.	non-LTR	RNA	5356
DMRER2DM	FBte0000030	X51967	Dmel/R2-element	Dmel	R2-element	non_LTR_retrotransposon	LINE	R2	R2	R2	Drosophila_melanogaster	100	1	NA	R2|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|protease|integrase|retrotransposon|LINE;R2_DM.	non-LTR	RNA	3607
DMRTMGD1	FBte0000015	X59545	Dmel/mdg1	Dmel	mdg1	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;LTR-retrotransposon|MDG1_I|MDG1_LTR|internal_portion.	LTR	RNA	7480
DMTHB1	FBte0000414	X01748	Dmel/HB	Dmel	HB	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	1	Mariner/Tc1|DNA_transposon|Transposable_Element;Repetitive_sequence|transposon|unidentified_reading_frame;DMFB4|FB4_DM.	TIR	DNA	1653
DMTN1731	FBte0000003	X07656	Dmel/1731	Dmel	1731	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	NA	Copia|LTR_Retrotransposon|Transposable_Element|LTR|gag;retrotransposon|internal_portion|gene|DM1731|DM1731_LTR;DM1731_I.	LTR	RNA	4648
DMTNFB	FBte0000288	V00246	Dmel/FB	Dmel	FB	foldback_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Repetitive_sequence|transposon|unidentified_reading_frame;DMFB4|FB4_DM.	FB	DNA	1106
DMTOM1_LTR	FBte0000400	NA	Dmel/Tom1	Dmel	Tom1	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|DMTOM1_I;DMTOM1_LTR|Gypsy_group|Gypsy_superfamily;endogenous_retrovirus.	LTR	RNA	410
DMTRAM	FBte0000464	Y08905	Dmir/TRAM	Dmir	TRAM	LTR_retrotransposon	NA	BEL	NA	NA	Drosophila_miranda	100	1	NA	BEL|LTR_Retrotransposon|Transposable_Element;LTR_retrotransposon_TRAM|TRAM_I|TRAM_LTR|internal_portion.	LTR	RNA	3452
DMTRDNA	FBte0000670	X80025	Dmel/hopper	Dmel	hopper	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	100	1	1	Transib|DNA_transposon|Transposable_Element|Nonautonomous;nonautonomous_DNA_transposon|TIR|DMTRDNA|M4DM.	TIR	DNA	1435
DMTRIM	FBte0000176	X59239	Dmir/TRIM	Dmir	TRIM	LTR_retrotransposon	NA	Loa	NA	NA	Drosophila_miranda	100	1	NA	Loa|Non-LTR_Retrotransposon|Transposable_Element|LINE;I_factor|TRIM.	LTR	RNA	3111
DMU89994	FBte0000739	U89994	Dmel/Burdock	Dmel	Burdock	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|BURDOCK_I;BURDOCK_LTR|gag|Gypsy_superfamily|pol|internal_portion.	LTR	RNA	6411
DMW1DOC	FBte0000341	X17551	Dmel/Doc	Dmel	Doc	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LINE-like_retrotransposon|DOC.	non-LTR	RNA	4725
DMZAM	FBte0000217	AJ000387	Dmel/ZAM	Dmel	ZAM	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|ZAM_I|ZAM_LTR|env;gag|pol|internal_portion.	LTR	RNA	8435
DNTOMRETA	FBte0000773	Z24451	Dana/Tom	Dana	Tom	LTR_retrotransposon	NA	Gypsy	NA	NA	Drosophila_ananassae	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|TOM|TOM_I|TOM_LTR;env|gag|pol|internal_portion.	LTR	RNA	7060
DOC2	FBte0000103	nnnnnnnn	Dmel/Doc2-element	Dmel	Doc2-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.917	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC;DOC2_DM|JOCKEY_clade|gag|reverse_transcriptase.	non-LTR	RNA	4789
DOC3	FBte0001140	nnnnnnnn	Dmel/Doc3-element	Dmel	Doc3-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|gag|DOC|JOCKEY_clade|DOC3_DM.	non-LTR	RNA	4740
DOC4	FBte0001039	nnnnnnnn	Dmel/Doc4-element	Dmel	Doc4-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC4_DM;JOCKEY_clade|ORF1|ORF2|reverse_transcriptase.	non-LTR	RNA	2791
DOC5	FBte0000791	nnnnnnnn	Dmel/Porto1	Dmel	Porto1	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC5_DM;JOCKEY_clade|ORF1|ORF2|Porto-1|reverse_transcriptase.	non-LTR	RNA	4682
DPSEMINIME	FBte0001484	AC131959	Dpse/mini-me	Dpse	mini-me	retrotransposon	NA	CR1	NA	NA	Drosophila_persimilis	99.308	2	NA	CR1|Non-LTR_Retrotransposon|Transposable_Element|CR1-1_DPer.	retrotransposon	retrotransposon	4622
DSRN	FBte0000536	D83207	Dsim/ninja	Dsim	ninja	LTR_retrotransposon	NA	BEL	NA	NA	Drosophila_simulans	100	1	NA	BEL|LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|internal_portion|PAO_subgroup|NINJA_I.	LTR	RNA	6644
DSV28T24	FBte0000284	X60177	Dsil/Loa	Dsil	Loa	non_LTR_retrotransposon	NA	Loa	NA	NA	Drosophila_silvestris	100	1	NA	Loa|Non-LTR_Retrotransposon|Transposable_Element.	non-LTR	RNA	7779
DTEII	FBte0000242	M28878	Dtei/I-element	Dtei	I-element	non_LTR_retrotransposon	NA	I	NA	NA	Drosophila_yakuba	97.06	2	?	I|Non-LTR_Retrotransposon|Transposable_Element|I-6_DY.	non-LTR	RNA	5386
DV26847	FBte0000017	U26847	Dvir/Helena	Dvir	Helena	non_LTR_retrotransposon	NA	Jockey	NA	NA	Drosophila_virilis	96.793	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;target_site_duplication|poly(A)_tail|LINE-like_retrotransposon;HELENA.	non-LTR	RNA	691
DV49102	FBte0000158	U49102	Dvir/Penelope	Dvir	Penelope	non_LTR_retrotransposon	NA	Penelope	NA	NA	virilis_group	99.856	1	NA	Penelope|Non-LTR_Retrotransposon|Transposable_Element;transposon|LINE.	non-LTR	RNA	4158
DVRPPDV	FBte0000647	X03936	Dvir/Dv	Dvir	Dv	transposable_element	NA	NA	NA	NA	NA	NA	0	NA	NA	transposable_element	transposable_element	845
DVULYSS	FBte0000322	X56645	Dvir/Ulysses	Dvir	Ulysses	LTR_retrotransposon	NA	Gypsy	NA	NA	Drosophila_virilis	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|LTR|ULYSS;ULYSSES_I|ULYSSES_LTR|retrotransposon|reverse_transcriptase;internal_portion.	LTR	RNA	10653
F	FBte0000005	AC005198	Dmel/F-element	Dmel	F-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.936	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LINE_retrotransposon|DMFW|FW_DM|FW.	non-LTR	RNA	4708
FB	FBte0000466	X15469	Dmel/NOF	Dmel	NOF	terminal_inverted_repeat_element	DNA	MuDR	MuDR	MuDR?	Drosophila	100	1	NA	MuDR|DNA_transposon|Transposable_Element|NOF_FB.	TIR	DNA	4347
FROGGER	FBte0000314	AF492763	Dmel/frogger	Dmel	frogger	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	NA	Copia|LTR_Retrotransposon|Transposable_Element;Interspersed_repeat|FROGGER_LTR|internal_portion|FROGGER_I.	LTR	RNA	2483
FW2	FBte0001002	nnnnnnnn	Dmel/Fw2	Dmel	Fw2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|FW2_DM;JOCKEY_clade|ORF1|ORF2|endonuclease|reverse_transcriptase.	non-LTR	RNA	3961
FW3	FBte0000636	nnnnnnnn	Dmel/Fw3	Dmel	Fw3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|FW3_DM;JOCKEY_clade|ORF1|ORF2|endonuclease|reverse_transcriptase.	non-LTR	RNA	3132
G2	FBte0000800	AC006215	Dmel/G2	Dmel	G2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF2;FW_DM|DOC|JOCKEY_superfamily|G|DMCR1A|G2_DM.	non-LTR	RNA	3102
