TEfam	flybase_name	fb_id	TEsubclass	TEclass	Mean_Cont	Mean_Sel	diff_Freq	log2diff_Freq	Df_Regime	Fvalue_Regime	pval_Regime	Df_nested	Fvalue_nested	pval_nested	Df_Resid	fdr_Regime
DMCOPIA	copia	FBte0000023	LTR	RNA	0.066	0.056	-0.01	-0.238	1	1.80723495458664	0.179270845811786	708	0.451362977227821	0.77143965217809	708	0.999292714104867
DMCR1A	Cr1a	FBte0000140	non-LTR	RNA	0.563	0.579	0.015	0.039	1	1.03452240186314	0.309238325998953	1764	0.173794648126449	0.951890617493723	1764	0.999292714104867
DMDM11	micropia	FBte0000042	LTR	RNA	0.298	0.328	0.03	0.139	1	0.166000500233881	0.684727502358293	84	0.122849551897017	0.973912211779742	84	0.999292714104867
DME010298	GATE	FBte0000359	LTR	RNA	0.626	0.62	-0.006	-0.013	1	0.0711306803797761	0.790179398157715	114	0.0389305834221563	0.997076377427571	114	0.999292714104867
DME278684	Rt1a	FBte0000457	non-LTR	RNA	0.253	0.236	-0.017	-0.099	1	0.340452363462353	0.559946182435523	348	0.13536199891052	0.969225664981376	348	0.999292714104867
DME487856	Max-element	FBte0000304	LTR	RNA	0.336	0.355	0.018	0.077	1	0.46085253176921	0.497574792616344	450	0.0879743792447731	0.986174815268364	450	0.999292714104867
DME9736	Idefix	FBte0000104	LTR	RNA	0.337	0.341	0.005	0.02	1	0.104555306028472	0.746646710681844	312	0.0671773704234458	0.991699775020725	312	0.999292714104867
DMGYPF1A	gypsy	FBte0000021	LTR	RNA	0.392	0.387	-0.004	-0.016	1	0.0364157695015749	0.848952631047822	132	0.079021425773146	0.988616668229613	132	0.999292714104867
DMHFL1	hobo	FBte0000154	TIR	DNA	0.058	0.063	0.005	0.121	1	0.027146910684473	0.869146322113179	2088	3.54331002824362	0.00688512737445571	2088	0.999292714104867
DMIFACA	I-element	FBte0000133	non-LTR	RNA	0.186	0.191	0.005	0.04	1	0.0757072686857064	0.783261309573167	948	0.15478007989072	0.960864302508379	948	0.999292714104867
DMIS176	17.6	FBte0000109	LTR	RNA	0.225	0.219	-0.005	-0.035	1	0.00386578311536776	0.950460775432005	330	0.0536902193640403	0.994603296337068	330	0.999292714104867
DMIS297	297	FBte0000675	LTR	RNA	0.182	0.181	-0.001	-0.009	1	0.0459295899765473	0.830334960297498	1404	0.822363315505376	0.510844578874939	1404	0.999292714104867
DMLINEJA	jockey	FBte0000088	non-LTR	RNA	0.07	0.076	0.006	0.122	1	0.697247821080611	0.403801095019808	2190	3.5455196960974	0.00685295357246888	2190	0.999292714104867
DMMDG3	mdg3	FBte0000010	LTR	RNA	0.161	0.126	-0.035	-0.355	1	1.91055189230517	0.167705407513248	384	0.453356214912803	0.769945671750704	384	0.999292714104867
DMPOGOR11	pogo	FBte0000568	TIR	DNA	0.098	0.087	-0.01	-0.163	1	1.58523375951565	0.20825575422505	1188	0.92836681000736	0.446557898500431	1188	0.999292714104867
DMREPG	G-element	FBte0000657	non-LTR	RNA	0.343	0.296	-0.047	-0.211	1	0.146181306975202	0.703562659199667	60	0.329402591993971	0.857144385513031	60	0.999292714104867
DMRER1DM	R1A1-element	FBte0000118	non-LTR	RNA	0.491	0.491	0	0	1	0.0615092524316548	0.804550108316133	120	0.0955634626136258	0.983701341150204	120	0.999292714104867
DMRER2DM	R2-element	FBte0000030	non-LTR	RNA	0.892	0.884	-0.007	-0.012	1	0.155812169955626	0.695834247527454	30	0.166671666014324	0.953654627540026	30	0.999292714104867
DMRTMGD1	mdg1	FBte0000015	LTR	RNA	0.115	0.095	-0.021	-0.284	1	2.56953626728816	0.109318294951697	834	0.209181758242792	0.933377350954073	834	0.999292714104867
DMTHB1	HB	FBte0000414	TIR	DNA	0.471	0.478	0.007	0.022	1	0.0879332632155423	0.766952762218505	468	0.240167561011003	0.915541834568052	468	0.999292714104867
DMTN1731	1731	FBte0000003	LTR	RNA	0.672	0.719	0.047	0.097	1	0.128980224149654	0.721589682492045	36	0.142312281790698	0.965232699652989	36	0.999292714104867
DMTNFB	FB	FBte0000288	FB	DNA	0.185	0.193	0.007	0.057	1	0.253799915611523	0.614534531205482	906	0.489202302534365	0.743694342292764	906	0.999292714104867
DMTOM1_LTR	Tom1	FBte0000400	LTR	RNA	0.811	0.819	0.008	0.015	1	4.81748890475863e-05	0.994476479821056	96	0.0286069790811891	0.998394079313587	96	0.999292714104867
DMTRDNA	hopper	FBte0000670	TIR	DNA	0.187	0.205	0.018	0.131	1	0.753001219103328	0.385881688512356	588	0.0485123300217982	0.99557365357677	588	0.999292714104867
DMU89994	Burdock	FBte0000739	LTR	RNA	0.084	0.076	-0.008	-0.142	1	0.0814512582631613	0.775475169318739	438	0.350391121485446	0.843757408790783	438	0.999292714104867
DMW1DOC	Doc	FBte0000341	non-LTR	RNA	0.12	0.118	-0.002	-0.022	1	0.442854103894582	0.505852507259389	1470	0.541828938337391	0.705039952131255	1470	0.999292714104867
DMZAM	ZAM	FBte0000217	LTR	RNA	0.184	0.197	0.013	0.099	1	0.136444381800452	0.713286254675441	54	0.133292747410242	0.969462706064649	54	0.999292714104867
DOC2	Doc2-element	FBte0000103	non-LTR	RNA	0.571	0.597	0.026	0.065	1	0.250142288092257	0.617938993502663	114	0.0533026769048837	0.99462594105127	114	0.999292714104867
DOC3	Doc3-element	FBte0001140	non-LTR	RNA	0.711	0.718	0.007	0.014	1	0.0215172686041483	0.883504859169044	234	0.0308223067598322	0.998161961972978	234	0.999292714104867
DOC4	Doc4-element	FBte0001039	non-LTR	RNA	0.746	0.74	-0.006	-0.012	1	0.000531088336389451	0.981656620529316	108	0.020565757441237	0.999162540176978	108	0.999292714104867
DOC5	Porto1	FBte0000791	non-LTR	RNA	0.62	0.649	0.029	0.066	1	0.415547442067939	0.519870728924968	210	0.0801668058574239	0.988353886850948	210	0.999292714104867
F	F-element	FBte0000005	non-LTR	RNA	0.121	0.119	-0.002	-0.028	1	0.123891014033701	0.724892622888386	1830	0.696167600251197	0.594584979345241	1830	0.999292714104867
FB	NOF	FBte0000466	TIR	DNA	0.015	0.027	0.012	0.848	1	NA	NA	0	NA	NA	0	NA
FROGGER	frogger	FBte0000314	LTR	RNA	0.866	0.867	0.001	0.002	1	0.00233237528655951	0.961801491359878	30	0.12718482443517	0.971425211783598	30	0.999292714104867
FW2	Fw2	FBte0001002	non-LTR	RNA	0.807	0.824	0.017	0.03	1	0.0506900560805434	0.822631913178271	60	0.0575948757867209	0.993680288163343	60	0.999292714104867
FW3	Fw3	FBte0000636	non-LTR	RNA	0.64	0.65	0.01	0.022	1	0.0120899494108871	0.912904044602483	48	0.0130152816785378	0.999653650834194	48	0.999292714104867
G2	G2	FBte0000800	non-LTR	RNA	0.146	0.169	0.023	0.208	1	0.817239532327483	0.366760111126006	282	0.200626596765737	0.937883746289149	282	0.999292714104867
G3	G3	FBte0001171	non-LTR	RNA	0.575	0.612	0.038	0.092	1	0.29861378573792	0.586442241118188	72	0.0595547223836872	0.993291952713212	72	0.999292714104867
G4_DM	G4	FBte0000290	non-LTR	RNA	0.648	0.656	0.008	0.019	1	0.0504782473921562	0.822419673618792	246	0.0695153200097882	0.991127235972367	246	0.999292714104867
G5_DM	G5	FBte0001128	non-LTR	RNA	0.687	0.701	0.014	0.03	1	0.125416067954803	0.723677070364439	168	0.113132900274296	0.977767078826188	168	0.999292714104867
G5A	G5A	FBte0000174	non-LTR	RNA	0.523	0.528	0.005	0.014	1	0.00621700799868621	0.937238282485761	186	0.115631034401789	0.976870383546387	186	0.999292714104867
G6_DM	G6	FBte0000958	non-LTR	RNA	0.394	0.33	-0.064	-0.257	1	0.157882223318181	0.692523865806667	60	0.160772510490899	0.957321457550829	60	0.999292714104867
G7	G7	FBte0000690	non-LTR	RNA	0.629	0.636	0.007	0.017	1	5.85993138427665e-05	0.993942917449807	30	0.0330728378693236	0.997779757083863	30	0.999292714104867
GTWIN	gtwin	FBte0001062	LTR	RNA	0.531	0.521	-0.01	-0.029	1	0.00352197066218403	0.9528954522736	54	0.062830233413782	0.992511892804783	54	0.999292714104867
GYPSY10	gypsy10	FBte0000351	LTR	RNA	0.714	0.711	-0.004	-0.008	1	0.012637795077214	0.910689737816001	114	0.0287545994508906	0.998382619312548	114	0.999292714104867
GYPSY11	gypsy11	FBte0001041	LTR	RNA	0.64	0.669	0.029	0.064	1	0.184286193871978	0.669909530482665	42	0.151597899013775	0.96124585016065	42	0.999292714104867
GYPSY12	gypsy12	FBte0001136	LTR	RNA	0.388	0.421	0.033	0.117	1	0.299722330507669	0.585186153006884	108	0.0296586224857425	0.998279939417508	108	0.999292714104867
GYPSY2	gypsy2	FBte0001040	LTR	RNA	0.614	0.606	-0.008	-0.018	1	0.0207946130612911	0.885519110883515	162	0.0886066695718725	0.985901942895856	162	0.999292714104867
GYPSY3	gypsy3	FBte0001030	LTR	RNA	0.952	0.975	0.024	0.035	1	0.3500520300051	0.561441686770203	18	0.219710946506832	0.923944758238359	18	0.999292714104867
GYPSY4	gypsy4	FBte0000688	LTR	RNA	0.74	0.756	0.016	0.03	1	0.0150168853729419	0.902761386908546	84	0.0234872069996717	0.99890680157918	84	0.999292714104867
GYPSY5	gypsy5	FBte0000308	LTR	RNA	0.168	0.149	-0.019	-0.171	1	0.0416593931274302	0.839133347040661	48	0.0374916738742961	0.997225297257084	48	0.999292714104867
GYPSY6	gypsy6	FBte0001175	LTR	RNA	0.834	0.827	-0.007	-0.012	1	0.0121708567128988	0.913375060143323	18	0.463018733128652	0.761961745005707	18	0.999292714104867
GYPSY7	gypsy7	FBte0000171	LTR	RNA	0.674	0.661	-0.013	-0.028	1	0.026561303632098	0.871221248091384	48	0.0170107397209614	0.999411757854518	48	0.999292714104867
GYPSY8	gypsy8	FBte0000168	LTR	RNA	0.493	0.498	0.006	0.016	1	0.00783776789777541	0.92952834092729	240	0.163290115466046	0.956761959069628	240	0.999292714104867
GYPSY9	gypsy9	FBte0000764	LTR	RNA	0.806	0.815	0.009	0.017	1	4.54703440179381e-05	0.994651697416634	42	0.155590230602832	0.959405924570928	42	0.999292714104867
HEL	Helena	FBte0000984	non-LTR	RNA	0.615	0.624	0.01	0.022	1	0.0241230357654796	0.877093601290029	60	0.0478583331615272	0.995576292713082	60	0.999292714104867
HELITRON1_DM	Helitron	FBte0000170	Helitron	DNA	0.696	0.747	0.05	0.101	1	NA	NA	0	NA	NA	0	NA
HOPPER2	hopper2	FBte0000930	TIR	DNA	0.406	0.44	0.034	0.117	1	0.0498247193629057	0.825882118122084	18	0.0421903724002106	0.996305239036559	18	0.999292714104867
INE1	INE-1	FBte0000312	TIR	DNA	0.246	0.246	0	0	1	2.20527003166778e-05	0.996253388773951	3534	0.221577423399602	0.926496789176716	3534	0.999292714104867
INVADER	invader1	FBte0000357	LTR	RNA	0.548	0.571	0.023	0.059	1	0.279412195858822	0.597600906662575	228	0.127225577599003	0.972464905663085	228	0.999292714104867
INVADER2	invader2	FBte0001084	LTR	RNA	0.607	0.626	0.019	0.044	1	0.115978092986678	0.733849000326523	174	0.0137194314206943	0.999626277605976	174	0.999292714104867
INVADER3	invader3	FBte0000619	LTR	RNA	0.433	0.436	0.003	0.01	1	6.6715130722492e-05	0.993494800653592	138	0.0342695183786662	0.997726246432803	138	0.999292714104867
INVADER4	invader4	FBte0000292	LTR	RNA	0.525	0.556	0.032	0.085	1	0.272060618391214	0.60278894213746	138	0.216497694950306	0.928893086801612	138	0.999292714104867
INVADER5	invader5	FBte0000188	LTR	RNA	0.471	0.484	0.013	0.039	1	0.0943992478055615	0.759838994562737	54	0.0165452738681055	0.99944549971413	54	0.999292714104867
INVADER6	invader6	FBte0000591	LTR	RNA	0.08	0.011	-0.069	-2.887	1	NA	NA	0	NA	NA	0	NA
IVK	Ivk	FBte0000608	non-LTR	RNA	0.324	0.309	-0.015	-0.07	1	0.359114546520936	0.549441817909152	306	0.0443363932354263	0.996272013540902	306	0.999292714104867
JOCKEY2	jockey2	FBte0001092	non-LTR	RNA	0.523	0.528	0.005	0.014	1	0.0194964577118858	0.889139865063519	150	0.0306573553617434	0.998173249009731	150	0.999292714104867
JUAN	Juan	FBte0000982	non-LTR	RNA	0.053	0.06	0.007	0.189	1	0.208858105031829	0.647868086681404	486	0.796387189625773	0.527895485738048	486	0.999292714104867
LOOPER1_DM	looper1	FBte0000323	TIR	DNA	0.62	0.617	-0.003	-0.008	1	0.00151888089034938	0.969096723090444	42	0.100128314784465	0.981817640597887	42	0.999292714104867
MARINER2	mariner2	FBte0001033	TIR	DNA	0.643	0.647	0.004	0.009	1	0.0317715609799082	0.858669829218829	258	0.0179484148002643	0.999366278189294	258	0.999292714104867
McCLINTOCK	McClintock	FBte0000926	LTR	RNA	0.136	0.213	0.077	0.647	1	1.55959575252965	0.215193610063718	84	0.126670283364463	0.972408018419416	84	0.999292714104867
OPUS	opus	FBte0000918	LTR	RNA	0.094	0.084	-0.009	-0.148	1	1.10803239885117	0.292851807881301	744	1.36516298554077	0.2443370762072	744	0.999292714104867
OSV	Osvaldo	FBte0000587	LTR	RNA	0.457	0.464	0.007	0.02	1	3.28246518122639e-05	0.995466650326889	30	0.0254488053667891	0.998670300221004	30	0.999292714104867
PPI251	P-element	FBte0000037	TIR	DNA	0.066	0.03	-0.036	-1.131	1	116.921842407239	1.14909340175014e-26	2502	2.76095859271286	0.0262963431200517	2502	1.34443928004766e-24
Q	Q-element	FBte0000124	non-LTR	RNA	0.61	0.521	-0.089	-0.229	1	0.149588025393955	0.712274463582178	6	0.102431847624437	0.977522771452045	6	0.999292714104867
QBERT	accord2	FBte0001166	LTR	RNA	0.726	0.741	0.015	0.029	1	0.0220025576515756	0.882494943333929	72	0.0329540241254393	0.997868546219746	72	0.999292714104867
QUASIMODO	Quasimodo	FBte0000640	LTR	RNA	0.34	0.316	-0.024	-0.105	1	0.363954793404884	0.546639067236143	426	0.223120037564151	0.925471974976369	426	0.999292714104867
R1-2	R1-2	FBte0000720	non-LTR	RNA	0.731	0.741	0.011	0.021	1	0.00713744184285917	0.932953376226953	60	0.0413047227500254	0.996674342822976	60	0.999292714104867
ROOA_LTR	rooA	FBte0000765	LTR	RNA	0.686	0.695	0.008	0.018	1	0.0557829279151558	0.81347721137126	258	0.0347630537558246	0.997675968913881	258	0.999292714104867
ROVER	rover	FBte0000692	LTR	RNA	0.249	0.208	-0.041	-0.259	1	0.907919549012315	0.342408595753372	132	0.0244917810039771	0.998822327663935	132	0.999292714104867
ROXELEMENT	X-element	FBte0001160	non-LTR	RNA	0.326	0.338	0.012	0.054	1	0.0295394841915582	0.863604416326884	534	0.20581514170279	0.93517929920647	534	0.999292714104867
RT1B	Rt1b	FBte0000603	non-LTR	RNA	0.285	0.294	0.008	0.041	1	0.122853061149305	0.726059693363236	744	0.259315174358889	0.903990987390718	744	0.999292714104867
RT1C	Rt1c	FBte0000666	non-LTR	RNA	0.669	0.673	0.004	0.009	1	0.000616225296426371	0.980222050913487	186	0.0417235982588428	0.99667451811344	186	0.999292714104867
S2	S2	FBte0000709	TIR	DNA	0.513	0.536	0.023	0.063	1	0.152746575670709	0.696584366978795	126	0.0291069980130986	0.998346043379237	126	0.999292714104867
SPRINGER	springer	FBte0000333	LTR	RNA	0.133	0.108	-0.025	-0.303	1	0.597111924826102	0.440504000975896	222	0.306417181779786	0.873502552930828	222	0.999292714104867
STALKER	Stalker	FBte0001066	LTR	RNA	0.362	0.356	-0.006	-0.024	1	0.0025220511319004	0.960773291015105	12	0.0382398048337443	0.996810311702183	12	0.999292714104867
STALKER2	Stalker2	FBte0000472	LTR	RNA	0.159	0.129	-0.03	-0.303	1	1.14752034594921	0.285069885786136	258	0.758653864190625	0.553056221918787	258	0.999292714104867
STALKER3	Stalker3	FBte0001157	LTR	RNA	1	1	0	0	1	NA	NA	0	NA	NA	0	NA
STALKER4	Stalker4	FBte0000151	LTR	RNA	0.559	0.553	-0.006	-0.016	1	0.0349201440786326	0.851933753835765	222	0.0270946859450111	0.998571892616731	222	0.999292714104867
TABOR	Tabor	FBte0000974	LTR	RNA	0.048	0.098	0.05	1.024	1	4.70186888760188	0.031359693607856	192	0.180016498633402	0.948531595086026	192	0.999292714104867
TC1	Tc1	FBte0000927	TIR	DNA	0.656	0.662	0.006	0.013	1	0.0236374191697118	0.877921036452411	282	0.0161156822760159	0.999488146079829	282	0.999292714104867
TC1-2	Tc1-2	FBte0000838	TIR	DNA	0.568	0.594	0.027	0.067	1	0.732251737010652	0.392865640926471	288	0.0628630347086793	0.992686450761376	288	0.999292714104867
TC3	Tc3	FBte0000044	TIR	DNA	0.574	0.584	0.01	0.025	1	0.01833901486956	0.892580956059759	90	0.0499406451528188	0.995241868994259	90	0.999292714104867
Tinker	diver	FBte0000001	LTR	RNA	0.113	0.09	-0.023	-0.321	1	0.412046500981894	0.521953133765077	144	0.331023241897489	0.856751394011153	144	0.999292714104867
TIRANT	Tirant	FBte0000179	LTR	RNA	0.07	0.091	0.021	0.371	1	1.09726926631225	0.295525037740868	384	0.298529785166941	0.87886092926796	384	0.999292714104867
TRANSIB1	transib1	FBte0000626	TIR	DNA	0.577	0.596	0.02	0.049	1	7.95206046899863e-07	0.999292714104867	42	0.0165680968618747	0.999438573236112	42	0.999292714104867
TRANSIB2	transib2	FBte0000885	TIR	DNA	0.419	0.449	0.03	0.101	1	0.359244010220209	0.549591465466802	204	0.148204446818634	0.963634017135591	204	0.999292714104867
TRANSIB3	transib3	FBte0000725	TIR	DNA	0.669	0.683	0.013	0.028	1	0.129323929806137	0.719585677039244	168	0.0155253702698119	0.9995224015736	168	0.999292714104867
TRANSIB4	transib4	FBte0001174	TIR	DNA	0.492	0.497	0.005	0.015	1	0.0254668736296621	0.873656060161837	72	0.0178143701537412	0.999363786898484	72	0.999292714104867
