TEfam	flybase_name	fb_id	TEsubclass	TEclass	Mean_Early	Mean_Postponed	diff_Freq	log2diff_Freq	Df_Breeding	Fval_Breeding	pvalFull_Breeding	Df_Diet	Fval_Diet	pvalFull_Diet	Df_inter	Fval_inter	pvalFull_inter	Df_Resid	fdrFull_Breeding
F	F-element	FBte0000005	non-LTR	RNA	0.058	0.061	0.003	0.08	1	6.47534443247214	0.0109461129175889	2	3.39016331075313	0.0337239792698194	2	1.14434171098368	0.318455866393806	18618	0.202617959678868
FB	NOF	FBte0000466	TIR	DNA	0.134	0.155	0.021	0.212	1	2.08712535232183	0.165728742357179	2	1.33361852751632	0.288343893125252	2	0.432175902760177	0.655655278879013	18	0.706426811666107
FROGGER	frogger	FBte0000314	LTR	RNA	0.767	0.766	-0.001	-0.001	1	0.0080404652180161	0.92874978465011	2	0.0427224272574294	0.9581967368683	2	0.133037469885433	0.87560412576424	90	0.968209667458967
FW2	Fw2	FBte0001002	non-LTR	RNA	0.761	0.763	0.002	0.004	1	0.00360931067136062	0.952158379932574	2	0.0360347677707451	0.964613488077416	2	0.0277659754537984	0.972619986768739	186	0.968209667458967
FW3	Fw3	FBte0000636	non-LTR	RNA	0.611	0.625	0.014	0.032	1	0.0601484926346229	0.806571801607599	2	0.00661179196214083	0.993410285898282	2	0.00907672281595908	0.990964850209439	162	0.963966431431301
G2	G2	FBte0000800	non-LTR	RNA	0.161	0.164	0.004	0.031	1	0.0170435878381119	0.89615663829741	2	0.165070391714764	0.847857072615292	2	0.011092148050472	0.988969264431839	1002	0.963966431431301
G3	G3	FBte0001171	non-LTR	RNA	0.375	0.389	0.014	0.052	1	0.289708026494835	0.590919291431377	2	0.0113597105925443	0.98870511249859	2	0.136803632487377	0.872211171582316	234	0.949947815772551
G4_DM	G4	FBte0000290	non-LTR	RNA	0.653	0.671	0.017	0.037	1	0.244624414920571	0.620994310152043	2	0.187146822081808	0.829350946099005	2	0.0277976647183577	0.972585885180144	1002	0.959192431090469
G5_DM	G5	FBte0001128	non-LTR	RNA	0.626	0.639	0.012	0.028	1	0.0592969946775875	0.807685524514099	2	0.100117231556112	0.904744962552928	2	0.0506614587073954	0.950604096555686	666	0.963966431431301
G5A	G5A	FBte0000174	non-LTR	RNA	0.495	0.509	0.013	0.038	1	0.713583093607947	0.398492353019273	2	0.0445601955960852	0.956420239430075	2	0.0698434892035567	0.932545062370167	858	0.949947815772551
G6_DM	G6	FBte0000958	non-LTR	RNA	0.386	0.399	0.013	0.048	1	0.154290866493328	0.694866546008308	2	0.47010224371191	0.625594418394418	2	0.224413795354274	0.799175810219997	210	0.963966431431301
G7	G7	FBte0000690	non-LTR	RNA	0.778	0.771	-0.007	-0.013	1	0.227988628579988	0.634176813944112	2	0.158947081435858	0.853280430460442	2	0.175298381050913	0.839492424732164	90	0.959192431090469
GTWIN	gtwin	FBte0001062	LTR	RNA	0.523	0.512	-0.011	-0.031	1	0.175637771005565	0.675632770905402	2	0.44999640498914	0.638322771647765	2	0.0701901781884004	0.932241195723787	186	0.963966431431301
GYPSY10	gypsy10	FBte0000351	LTR	RNA	0.72	0.728	0.008	0.016	1	0.0024923822606373	0.96020793467005	2	0.114825835533334	0.891550631593794	2	0.0526433497545607	0.948724851960099	402	0.968209667458967
GYPSY11	gypsy11	FBte0001041	LTR	RNA	0.728	0.741	0.013	0.027	1	0.0475378836779123	0.82757665153323	2	0.0135873035693238	0.986505293041686	2	0.251975921496542	0.777454506648634	258	0.963966431431301
GYPSY12	gypsy12	FBte0001136	LTR	RNA	0.38	0.383	0.003	0.01	1	0.00290181012442298	0.957056729815773	2	0.0667309518702925	0.9354533352476	2	0.020524369955949	0.979685464102899	642	0.968209667458967
GYPSY2	gypsy2	FBte0001040	LTR	RNA	0.576	0.59	0.014	0.036	1	0.376890701723641	0.53943940902869	2	0.0306195047560108	0.969845614321401	2	0.0355434092520328	0.965082301695079	834	0.949947815772551
GYPSY3	gypsy3	FBte0001030	LTR	RNA	0.795	0.776	-0.019	-0.034	1	0.502400056553316	0.479643123865742	2	0.72202923638641	0.487591331728522	2	0.26536615681383	0.767315532192794	138	0.949947815772551
GYPSY4	gypsy4	FBte0000688	LTR	RNA	0.525	0.53	0.005	0.013	1	0.0649168678334651	0.799017220271975	2	0.0780205961414335	0.924959378344927	2	0.00349134047644556	0.996514777381984	402	0.963966431431301
GYPSY5	gypsy5	FBte0000308	LTR	RNA	0.148	0.149	0.001	0.013	1	0.000921440255002424	0.975795907323865	2	0.217705384761041	0.804438895966568	2	0.12293801925376	0.884345301258133	498	0.975795907323865
GYPSY6	gypsy6	FBte0001175	LTR	RNA	0.882	0.874	-0.008	-0.014	1	0.037577032468963	0.84689031472966	2	0.957720180352252	0.389035004941672	2	0.340999984418452	0.712304211821448	66	0.963966431431301
GYPSY7	gypsy7	FBte0000171	LTR	RNA	0.674	0.652	-0.022	-0.047	1	0.500180057938889	0.480059327438886	2	0.119862679274187	0.88709160452283	2	0.258612456941041	0.772322108869844	258	0.949947815772551
GYPSY8	gypsy8	FBte0000168	LTR	RNA	0.469	0.484	0.014	0.044	1	0.30882416281205	0.578508869275636	2	0.0125017849143385	0.987576169677301	2	0.105138033852096	0.900208759895911	1170	0.949947815772551
GYPSY9	gypsy9	FBte0000764	LTR	RNA	0.866	0.874	0.008	0.014	1	0.0143414368182379	0.904769844766048	2	0.0120925365567997	0.987980844271456	2	0.0606811921539198	0.941136657132803	258	0.963966431431301
HEL	Helena	FBte0000984	non-LTR	RNA	0.537	0.555	0.017	0.046	1	0.331306526879539	0.565349781407852	2	0.0224011868621855	0.977849596511967	2	0.0746692365689938	0.928068743132651	282	0.949947815772551
HELITRON1_DM	Helitron	FBte0000170	Helitron	DNA	0.718	0.731	0.013	0.027	1	0.0902849720863576	0.767257991008706	2	1.70642780051813	0.209595160697051	2	2.68012222513969	0.0957538176773574	18	0.963966431431301
HOPPER2	hopper2	FBte0000930	TIR	DNA	0.525	0.582	0.057	0.148	1	8.45236637450438	0.00939613387091012	2	1.05300672927609	0.369418657393604	2	0.109928892216523	0.896494647886453	18	0.202617959678868
INE1	INE-1	FBte0000312	TIR	DNA	0.13	0.131	0	0.005	1	0.523710197662523	0.469275460098064	2	0.468177878725989	0.626151999785672	2	0.153437783567492	0.857755580281496	13914	0.949947815772551
INVADER	invader1	FBte0000357	LTR	RNA	0.578	0.578	0	0	1	0.0133057279571157	0.908199778373292	2	0.14533090173624	0.864761676568784	2	0.201940235097959	0.817190417617525	714	0.963966431431301
INVADER2	invader2	FBte0001084	LTR	RNA	0.624	0.631	0.007	0.016	1	0.0650445370335509	0.798785506909585	2	0.0537767298985815	0.947648470727478	2	0.00949746729592144	0.990547647952996	570	0.963966431431301
INVADER3	invader3	FBte0000619	LTR	RNA	0.438	0.454	0.015	0.05	1	0.300372903650472	0.583863301092906	2	0.245238314235386	0.782600552880178	2	0.0303622530378471	0.970095619204844	570	0.949947815772551
INVADER4	invader4	FBte0000292	LTR	RNA	0.334	0.353	0.019	0.08	1	0.380411885103945	0.537651787618435	2	0.0222710393920942	0.977976058551048	2	0.0351745230607325	0.965439198630003	522	0.949947815772551
INVADER5	invader5	FBte0000188	LTR	RNA	0.537	0.568	0.031	0.082	1	0.194599084838984	0.659628429391461	2	0.0559773207831107	0.945576503410118	2	0.145237341383662	0.864914992598508	186	0.963966431431301
INVADER6	invader6	FBte0000591	LTR	RNA	0.062	0.057	-0.005	-0.116	1	0.0559416019997165	0.81417912148524	2	1.91051240873423	0.160647634562356	2	1.99224686725661	0.149071801233531	42	0.963966431431301
IVK	Ivk	FBte0000608	non-LTR	RNA	0.206	0.213	0.007	0.049	1	0.662123803415101	0.415903148873135	2	0.00995887207592254	0.990090599907554	2	0.0451500936881667	0.955854928618755	2106	0.949947815772551
JOCKEY2	jockey2	FBte0001092	non-LTR	RNA	0.507	0.505	-0.002	-0.005	1	0.0201517719480501	0.887174336219675	2	0.0287244815540361	0.971685835778668	2	0.0313580117822085	0.969130561827189	474	0.963966431431301
JUAN	Juan	FBte0000982	non-LTR	RNA	0.039	0.044	0.004	0.155	1	8.5193681777969	0.00353867048705443	2	2.21148532181386	0.109707223946643	2	4.27526617559322	0.0139888305160524	3162	0.107044782233397
LOOPER1_DM	looper1	FBte0000323	TIR	DNA	0.649	0.65	0.002	0.004	1	0.021983327873771	0.882347888632657	2	0.149134226256619	0.861592126584634	2	0.0160329615494682	0.984096715043097	138	0.963966431431301
MARINER2	mariner2	FBte0001033	TIR	DNA	0.558	0.563	0.005	0.014	1	0.0213857573319435	0.883766372091339	2	0.0235147819918383	0.976760148440848	2	0.0579907915074159	0.943662234788725	882	0.963966431431301
McCLINTOCK	McClintock	FBte0000926	LTR	RNA	0.12	0.111	-0.009	-0.107	1	0.00279528683778604	0.957864933492997	2	0.155325836740976	0.856194487420095	2	0.375208127809231	0.687419187297389	354	0.968209667458967
OPUS	opus	FBte0000918	LTR	RNA	0.026	0.026	0	0.013	1	2.80077804692189	0.0942677978918612	2	2.24042597120394	0.106497223324729	2	0.240489058711357	0.786250404081666	6354	0.600337028679748
OSV	Osvaldo	FBte0000587	LTR	RNA	0.37	0.345	-0.025	-0.1	1	0.665474632941661	0.416787585949041	2	0.219667569352203	0.80321475975577	2	0.293749072729638	0.746175491255034	90	0.949947815772551
PPI251	P-element	FBte0000037	TIR	DNA	0.025	0.026	0.002	0.087	1	11.5632499817915	0.000674368168512594	2	0.783875473687897	0.456650901054071	2	2.52883923992147	0.0797842443568645	15594	0.027199516130008
Q	Q-element	FBte0000124	non-LTR	RNA	0.149	0.12	-0.03	-0.318	1	0.262931820385813	0.614348347824578	2	0.767882602194308	0.478606622156239	2	0.216002024169364	0.807791970159993	18	0.959192431090469
QBERT	accord2	FBte0001166	LTR	RNA	0.708	0.719	0.011	0.023	1	0.0912670758194017	0.762728704161002	2	0.0126635974866601	0.987416642348693	2	0.044704262516943	0.956285001215624	402	0.963966431431301
QUASIMODO	Quasimodo	FBte0000640	LTR	RNA	0.15	0.152	0.002	0.017	1	0.328588929493318	0.566527265300367	2	0.0195874564920465	0.980603236713267	2	0.0767383011034272	0.926133717293666	3570	0.949947815772551
R1-2	R1-2	FBte0000720	non-LTR	RNA	0.796	0.818	0.022	0.039	1	0.464209501370422	0.496222317179291	2	0.00190082368202127	0.998100994527278	2	0.0789691734185687	0.924088837266205	282	0.949947815772551
ROOA_LTR	rooA	FBte0000765	LTR	RNA	0.714	0.722	0.007	0.015	1	0.0950326091387037	0.757945018922171	2	0.0366921700334846	0.963974261791489	2	0.0173878170752087	0.98276280659432	906	0.963966431431301
ROVER	rover	FBte0000692	LTR	RNA	0.161	0.156	-0.004	-0.037	1	0.38660161718322	0.53428319084872	2	0.157164008461073	0.85459248584072	2	0.0505594932319719	0.950700659632913	738	0.949947815772551
ROXELEMENT	X-element	FBte0001160	non-LTR	RNA	0.283	0.292	0.008	0.042	1	0.39394129212351	0.530292485578517	2	0.227155715518999	0.796813209022606	2	0.116201909851212	0.890300273374506	2490	0.949947815772551
RT1B	Rt1b	FBte0000603	non-LTR	RNA	0.225	0.229	0.004	0.025	1	0.521204528375388	0.470374360853998	2	0.012586114936945	0.987492801625612	2	0.0224886010516238	0.977762517477291	3666	0.949947815772551
RT1C	Rt1c	FBte0000666	non-LTR	RNA	0.632	0.646	0.014	0.031	1	0.170949828150333	0.679397508351704	2	0.000566164511287793	0.999433996193887	2	0.00191961796150656	0.998082228656895	690	0.963966431431301
S2	S2	FBte0000709	TIR	DNA	0.508	0.537	0.029	0.079	1	1.80171553973814	0.180018018875914	2	0.437354582188857	0.645950192606051	2	0.530731428918926	0.588453251982788	594	0.706426811666107
SPRINGER	springer	FBte0000333	LTR	RNA	0.089	0.094	0.005	0.076	1	0.725372283775067	0.394565271975246	2	0.190992300802941	0.826165239945987	2	0.0467448430998698	0.954332690161031	1146	0.949947815772551
STALKER	Stalker	FBte0001066	LTR	RNA	0.667	0.776	0.11	0.219	1	1.20823757060512	0.286166492624174	2	5.81847035219749	0.0112448121498097	2	0.883851613761805	0.430374602408636	18	0.887849887372437
STALKER2	Stalker2	FBte0000472	LTR	RNA	0.036	0.036	0	0.016	1	0.359611532529921	0.548816797129327	2	1.5360161414659	0.215590781631955	2	1.15823207036439	0.314334497813975	1434	0.949947815772551
STALKER4	Stalker4	FBte0000151	LTR	RNA	0.316	0.316	0	-0.002	1	0.013950136758107	0.905996489045699	2	0.102888478157696	0.902234245743129	2	0.0821977465734988	0.921094137842478	1434	0.963966431431301
TABOR	Tabor	FBte0000974	LTR	RNA	0.024	0.026	0.002	0.111	1	2.80848267471777	0.0939303517369929	2	1.29138272989013	0.275129822107248	2	0.273983733332524	0.760374259036145	1914	0.600337028679748
TAHRE	TAHRE	FBte0000148	non-LTR	RNA	0.016	0.003	-0.013	-2.36	1	1.94905862280498	0.179670057180615	2	1.34600733451283	0.285251244187114	2	0.214235708678148	0.809186680528561	18	0.706426811666107
TC1	Tc1	FBte0000927	TIR	DNA	0.696	0.72	0.024	0.05	1	2.14303383235353	0.143532052829129	2	0.458540915498543	0.632338009049602	2	0.540209139568651	0.582795978304245	1002	0.706426811666107
TC1-2	Tc1-2	FBte0000838	TIR	DNA	0.581	0.603	0.022	0.053	1	1.37740978169195	0.240791916993206	2	0.313065744146289	0.731265690518467	2	0.467738938974445	0.626539125012073	1122	0.787454647464268
TC3	Tc3	FBte0000044	TIR	DNA	0.577	0.604	0.028	0.068	1	0.942044827984084	0.332373157774965	2	0.0605219458390683	0.941282231011379	2	0.118586027362364	0.888208434364448	378	0.914026183881154
Tinker	diver	FBte0000001	LTR	RNA	0.063	0.064	0.001	0.026	1	0.116719715032074	0.732659832565722	2	0.206279262567114	0.813625129746925	2	0.97885842458721	0.375940377260073	1794	0.963966431431301
TIRANT	Tirant	FBte0000179	LTR	RNA	0.031	0.031	0	-0.015	1	1.37710366588984	0.240672361167077	2	0.0725818865898733	0.929990943978523	2	0.140710871723785	0.868745206778804	3618	0.787454647464268
TRANSIB1	transib1	FBte0000626	TIR	DNA	0.648	0.692	0.044	0.096	1	2.1684927385824	0.145617259534779	2	0.129174354285434	0.879042357905831	2	0.081962054108941	0.921400542400597	66	0.706426811666107
TRANSIB2	transib2	FBte0000885	TIR	DNA	0.505	0.52	0.015	0.042	1	0.60245494992758	0.437856783830345	2	0.359378545986512	0.698215068863537	2	0.0744393318142355	0.928269782754775	858	0.949947815772551
TRANSIB3	transib3	FBte0000725	TIR	DNA	0.732	0.758	0.026	0.051	1	1.94704625697913	0.163387959604991	2	0.173838132080857	0.840472472599043	2	0.162176880746525	0.850325614713148	642	0.706426811666107
TRANSIB4	transib4	FBte0001174	TIR	DNA	0.662	0.699	0.037	0.078	1	0.953946783761673	0.329631608176085	2	0.273082169278739	0.761249946266468	2	0.0658123346483391	0.936322273459889	258	0.914026183881154
